校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03901,休閒產業經營學系,8,8,"--
均標
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業
國文學業",8,"16%
--
--
--
--
--
--",--,
03901,休閒產業經營學系【外加】,0,2,"--
均標
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業
國文學業",0,"--
--
--
--
--
--
--",--,
03902,適應體育學系,6,6,"--
--
--
--
--
底標
--","在校學業
學測英文
學測國文
學測總級分
英文學業
學測數學
學測自然",6,"21%
11
--
--
--
--
--",--,
03902,適應體育學系【外加】,0,2,"--
--
--
--
--
底標
--","在校學業
學測英文
學測國文
學測總級分
英文學業
學測數學
學測自然",0,"--
--
--
--
--
--
--",--,
03903,體育推廣學系,6,6,"--
均標
--
--
--
--
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業
學測數學",6,"23%
--
--
--
--
--
--",--,
03903,體育推廣學系【外加】,0,2,"--
均標
--
--
--
--
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業
學測數學",0,"--
--
--
--
--
--
--",--,
03904,運動保健學系,10,10,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
英文學業",10,"13%
--
--
--
--
--
--",--,
03904,運動保健學系【外加】,0,1,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
英文學業",0,"--
--
--
--
--
--
--",--,
