校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02201,事業經營學系,8,8,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業",8,"6%
13
9
--
--
--",--,
02202,地理學系,5,5,"均標
均標
均標
均標
均標
--
--","在校學業
地理學業
英文學業
國文學業
歷史學業
地科學業
生物學業",5,"6%
--
--
--
--
--
--",--,
02203,特殊教育學系,10,10,"均標
均標
均標
均標
--
均標
--","在校學業
學測國文
學測英文
學測數學",10,"9%
12
13
--",--,
02203,特殊教育學系【外加】,0,2,"均標
均標
均標
均標
--
均標
--","在校學業
學測國文
學測英文
學測數學",0,"--
--
--
--",--,
02204,英語學系,16,16,"前標
頂標
--
--
--
均標
B級","在校學業
學測英文
學測國文
學測總級分
學測社會",16,"12%
14
13
--
--",--,
02204,英語學系【外加】,0,1,"前標
頂標
--
--
--
均標
B級","在校學業
學測英文
學測國文
學測總級分
學測社會",0,"--
--
--
--
--",--,
02205,教育學系,10,10,"均標
均標
均標
均標
--
均標
--","在校學業
學測國文
學測英文
學測數學",10,"5%
12
12
--",--,
02205,教育學系【外加】,0,3,"均標
均標
均標
均標
--
均標
--","在校學業
學測國文
學測英文
學測數學",0,"--
--
--
--",--,
02206,國文學系,14,19,"前標
前標
均標
前標
--
均標
--","在校學業
學測國文
學測英文
學測社會",11,"25%
--
--
--",3,"20%
--
--
--"
02207,數學系數學組,7,7,"均標
均標
前標
均標
均標
--
--","在校學業
學測數學
學測英文",6,"30%
--
--",1,"20%
--
--"
02207,數學系數學組【外加】,0,2,"均標
均標
前標
均標
均標
--
--","在校學業
學測數學
學測英文",0,"--
--
--",--,
02208,數學系應用數學組,5,7,"均標
均標
前標
均標
均標
--
--","在校學業
學測數學
學測英文",3,"22%
--
--",2,"17%
--
--"
02208,數學系應用數學組【外加】,0,2,"均標
均標
前標
均標
均標
--
--","在校學業
學測數學
學測英文",0,"--
--
--",--,
02209,化學系,6,6,"--
--
--
--
--
均標
--","在校學業
化學學業
數學學業
物理學業",6,"3%
--
--
--",--,
02209,化學系【外加】,1,1,"--
--
--
--
--
均標
--","在校學業
化學學業
數學學業
物理學業",1,"29%
--
--
--",--,
02210,物理學系,9,9,"均標
均標
前標
均標
前標
--
--","在校學業
學測自然
學測數學
學測英文
學測國文",8,"20%
--
--
--
--",1,"16%
--
--
--
--"
02210,物理學系【外加】,0,1,"均標
均標
前標
均標
前標
--
--","在校學業
學測自然
學測數學
學測英文
學測國文",0,"--
--
--
--
--",--,
02211,工業設計學系,5,5,"均標
前標
均標
均標
均標
均標
--","在校學業
學測總級分
學測英文",5,"12%
61
--",--,
02212,光電與通訊工程學系,8,8,"均標
均標
前標
--
前標
--
--","在校學業
學測數學
數學學業
學測自然
物理學業
學測總級分",8,"21%
--
--
--
--
--",--,
02212,光電與通訊工程學系【外加】,0,2,"均標
均標
前標
--
前標
--
--","在校學業
學測數學
數學學業
學測自然
物理學業
學測總級分",0,"--
--
--
--
--
--",--,
02213,電子工程學系,1,7,"均標
前標
前標
均標
前標
--
--","在校學業
學測數學
學測自然
數學學業
物理學業
英文學業",0,"--
--
--
--
--
--",1,"23%
--
--
--
--
--"
02214,軟體工程與管理學系,2,4,"均標
前標
頂標
均標
前標
前標
C級","在校學業
學測數學
數學學業",1,"16%
--
--",1,"10%
--
--"
02214,軟體工程與管理學系【外加】,0,1,"均標
前標
頂標
均標
前標
前標
C級","在校學業
學測數學
數學學業",0,"--
--
--",--,
02215,工業科技教育學系科技教育與訓練組,4,4,"--
--
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文",4,"6%
--
--
--",--,
02216,工業科技教育學系能源與冷凍空調組,4,4,"--
--
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文",4,"8%
50
--
--",--,
02217,生物科技系,10,10,"均標
均標
均標
--
均標
--
--","在校學業
生物學業
英文學業
化學學業",10,"26%
--
--
--",--,
02217,生物科技系【外加】,0,1,"均標
均標
均標
--
均標
--
--","在校學業
生物學業
英文學業
化學學業",0,"--
--
--
--",--,
02218,美術學系,1,7,"均標
均標
後標
後標
後標
--
--","在校學業
美術學業
國文學業
數學學業
英文學業",1,"20%
--
--
--
--",--,
02218,美術學系【外加】,0,2,"均標
均標
後標
後標
後標
--
--","在校學業
美術學業
國文學業
數學學業
英文學業",0,"--
--
--
--
--",--,
02219,視覺設計學系,0,5,"均標
均標
均標
均標
均標
--
--","在校學業
學測總級分
術科素描
術科彩繪技法
術科創意表現",0,"--
--
--
--
--",--,
02220,體育學系,8,8,"均標
後標
--
--
--
--
--","在校學業
學測英文
學測國文",8,"19%
--
--",--,
02220,體育學系【外加】,0,1,"均標
後標
--
--
--
--
--","在校學業
學測英文
學測國文",0,"--
--
--",--,
