校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01401,中國文學學系,10,18,"均標
後標
--
--
--
--
--","在校學業
學測國文
學測英文",5,"36%
--
--",5,"35%
--
--"
01401,中國文學學系【外加】,0,2,"均標
後標
--
--
--
--
--","在校學業
學測國文
學測英文",0,"--
--
--",--,
01402,歷史學系,7,17,"後標
後標
--
後標
--
--
--","在校學業
學測國文
學測社會",0,"--
--
--",7,"35%
--
--"
01402,歷史學系【外加】,0,2,"後標
後標
--
後標
--
--
--","在校學業
學測國文
學測社會",0,"--
--
--",--,
01403,資訊與圖書館學系,2,17,"均標
後標
--
--
--
--
--","在校學業
學測總級分
學測英文
學測國文",0,"--
--
--
--",2,"32%
--
--
--"
01403,資訊與圖書館學系【外加】,0,1,"均標
後標
--
--
--
--
--","在校學業
學測總級分
學測英文
學測國文",0,"--
--
--
--",--,
01404,大眾傳播學系,9,9,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會",6,"29%
--
--
--
--",3,"33%
--
--
--
--"
01404,大眾傳播學系【外加】,0,1,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會",0,"--
--
--
--
--",--,
01405,資訊傳播學系,18,18,"均標
後標
後標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學",9,"27%
--
--
--
--",9,"27%
--
--
--
--"
01405,資訊傳播學系【外加】,0,1,"均標
後標
後標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學",0,"--
--
--
--
--",--,
01406,教育科技學系,4,14,"均標
後標
後標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學",0,"--
--
--
--
--",4,"37%
--
--
--
--"
01406,教育科技學系【外加】,0,5,"均標
後標
後標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學",0,"--
--
--
--
--",--,
01407,英文學系,32,32,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",29,"39%
--
--
--",3,"9%
14
--
--"
01407,英文學系【外加】,0,3,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",0,"--
--
--
--",--,
01408,法國語文學系,18,18,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
學測總級分",9,"38%
--
--
--",9,"19%
--
--
--"
01408,法國語文學系【外加】,0,2,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
學測總級分",0,"--
--
--
--",--,
01409,德國語文學系,9,9,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文",7,"26%
--
--",2,"18%
--
--"
01409,德國語文學系【外加】,1,2,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文",1,"40%
--
--",--,
01410,西班牙語文學系,18,18,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",10,"37%
--
--
--",8,"22%
--
--
--"
01410,西班牙語文學系【外加】,0,1,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",0,"--
--
--
--",--,
01411,日本語文學系,27,27,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",14,"25%
--
--
--",13,"18%
11
--
--"
01411,日本語文學系【外加】,1,2,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",1,"19%
--
--
--",--,
01412,俄國語文學系,9,9,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文",2,"26%
--
--",7,"28%
12
12"
01412,俄國語文學系【外加】,0,2,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文",0,"--
--
--",--,
01413,商管學院全球財務管理全英語學士學位學程,5,5,"--
均標
後標
--
--
後標
--","在校學業
學測英文
學測數學
學測總級分",5,"13%
--
--
--",--,
01414,財務金融學系,18,18,"--
後標
後標
--
--
後標
--","在校學業
學測數學
學測英文
學測國文
學測總級分",18,"9%
--
--
--
--",--,
01414,財務金融學系【外加】,1,1,"--
後標
後標
--
--
後標
--","在校學業
學測數學
學測英文
學測國文
學測總級分",1,"29%
--
--
--
--",--,
01415,產業經濟學系,15,15,"--
後標
後標
--
--
後標
--","在校學業
學測數學
學測英文
學測總級分",6,"37%
--
--
--",9,"20%
7
--
--"
01415,產業經濟學系【外加】,0,1,"--
後標
後標
--
--
後標
--","在校學業
學測數學
學測英文
學測總級分",0,"--
--
--
--",--,
01416,國際企業學系經貿管理組,11,11,"--
--
--
--
--
後標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會",11,"12%
46
--
--
--
--",--,
01417,風險管理與保險學系,8,10,"--
後標
後標
--
--
後標
--","在校學業
學測英文
學測國文
學測數學",2,"18%
--
--
--",6,"39%
--
--
--"
01418,經濟學系,25,25,"--
後標
後標
--
--
後標
--","在校學業
學測英文
學測數學
學測國文",12,"36%
--
--
--",13,"18%
12
--
--"
01418,經濟學系【外加】,0,5,"--
後標
後標
--
--
後標
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
01419,會計學系,25,25,"--
後標
後標
--
--
後標
--","在校學業
學測英文
學測數學
學測國文",25,"15%
--
--
--",--,
01419,會計學系【外加】,1,2,"--
後標
後標
--
--
後標
--","在校學業
學測英文
學測數學
學測國文",1,"29%
--
--
--",--,
