校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03501,教育學系,9,9,"均標
均標
--
--
--
--
--","在校學業
學測數學
學測國文
學測英文
學測社會
國文學業
數學學業",9,"5%
--
--
--
--
--
--",--,
03502,特殊教育學系,6,6,"均標
均標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",6,"14%
--
--
--
--
--
--",--,
03502,特殊教育學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
03503,幼兒教育學系,15,15,"均標
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測數學
學測國文
學測社會
學測自然",15,"20%
--
--
--
--
--
--",--,
03503,幼兒教育學系【外加】,0,2,"均標
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測數學
學測國文
學測社會
學測自然",0,"--
--
--
--
--
--
--",--,
03504,心理與諮商學系,7,7,"均標
均標
--
--
--
均標
C級","在校學業
學測總級分
學測英文
學測國文
學測數學
英文學業",7,"5%
54
--
--
--
--",--,
03505,學習與媒材設計學系,5,5,"均標
均標
均標
--
--
均標
--","在校學業
學測英文
學測數學
學測國文
學測社會
學測自然",5,"14%
--
--
--
--
--",--,
03506,中國語文學系,6,6,"均標
--
--
均標
--
--
--","在校學業
學測國文
國文學業
學測社會
歷史學業",6,"4%
--
--
--
--",--,
03506,中國語文學系【外加】,0,5,"均標
--
--
均標
--
--
--","在校學業
學測國文
國文學業
學測社會
歷史學業",0,"--
--
--
--
--",--,
03507,英語教學系,6,6,"前標
頂標
--
--
--
均標
A級","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業",5,"39%
--
--
--
--
--",1,"22%
--
--
--
--
--"
03507,英語教學系【外加】,0,2,"前標
頂標
--
--
--
均標
A級","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業",0,"--
--
--
--
--
--",--,
03508,社會暨公共事務學系,6,6,"均標
均標
--
均標
--
均標
--","在校學業
國文學業
英文學業
學測社會
學測數學",6,"4%
4%
--
--
--",--,
03508,社會暨公共事務學系【外加】,2,2,"均標
均標
--
均標
--
均標
--","在校學業
國文學業
英文學業
學測社會
學測數學",2,"34%
--
--
--
--",--,
03509,歷史與地理學系,18,18,"均標
均標
--
均標
--
均標
--","在校學業
學測總級分
國文學業
英文學業
學測社會",18,"18%
--
--
--
--",--,
03509,歷史與地理學系【外加】,0,3,"均標
均標
--
均標
--
均標
--","在校學業
學測總級分
國文學業
英文學業
學測社會",0,"--
--
--
--
--",--,
03510,城市發展學系,6,6,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數學",6,"15%
--
--
--
--",--,
03511,都會產業經營與行銷學系,6,6,"均標
均標
均標
均標
--
--
--","在校學業
學測英文
學測數學
學測國文",6,"8%
--
--
--",--,
03512,視覺藝術學系,8,8,"均標
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文",8,"7%
--
--
--",--,
03512,視覺藝術學系【外加】,1,1,"均標
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文",1,"25%
--
--
--",--,
03513,地球環境暨生物資源學系,10,10,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",10,"12%
14
--
--",--,
03513,地球環境暨生物資源學系【外加】,1,2,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",1,"13%
--
--
--",--,
03514,應用物理暨化學系電子物理組,3,3,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",3,"9%
--
--
--",--,
03514,應用物理暨化學系電子物理組【外加】,0,2,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",0,"--
--
--
--",--,
03515,應用物理暨化學系應用化學組,3,3,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",3,"6%
--
--
--",--,
03515,應用物理暨化學系應用化學組【外加】,0,2,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",0,"--
--
--
--",--,
03516,數學系,7,7,"--
--
均標
--
均標
--
--","在校學業
學測數學
學測自然",7,"9%
--
--",--,
03516,數學系【外加】,0,4,"--
--
均標
--
均標
--
--","在校學業
學測數學
學測自然",0,"--
--
--",--,
03517,資訊科學系,5,5,"均標
均標
均標
--
均標
--
--","在校學業
學測總級分
學測英文
學測數學
學測自然
學測國文
數學學業",5,"13%
--
--
--
--
--
--",--,
03517,資訊科學系【外加】,0,2,"均標
均標
均標
--
均標
--
--","在校學業
學測總級分
學測英文
學測數學
學測自然
學測國文
數學學業",0,"--
--
--
--
--
--
--",--,
03518,休閒運動管理學系,21,21,"--
--
--
底標
--
--
--","在校學業
學測英文
學測國文",21,"24%
--
--",--,
03518,休閒運動管理學系【外加】,2,2,"--
--
--
底標
--
--
--","在校學業
學測英文
學測國文",2,"10%
--
--",--,
03519,運動健康科學系,15,15,"--
--
--
底標
--
--
--","在校學業
學測英文
學測國文
英文學業
國文學業",15,"22%
--
--
--
--",--,
03519,運動健康科學系【外加】,2,2,"--
--
--
底標
--
--
--","在校學業
學測英文
學測國文
英文學業
國文學業",2,"25%
--
--
--
--",--,
03520,衛生福利學系,6,6,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文",2,"48%
--
--
--",4,"20%
--
--
--"
