校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
13001,文化資產與創意學系(A組）,0,2,"底標
--
--
--
--
--
--","在校學業
學測國文
學測社會
學測國社
國語文學業
歷史學業
學測英文",0,"--
--
--
--
--
--
--",--,
13002,文化資產與創意學系(B組),0,2,"--
--
--
--
底標
--
--","在校學業
學測社會
學測國文
學測國社
歷史學業
國語文學業
學測英文",0,"--
--
--
--
--
--
--",--,
13003,傳播學系(數位媒體組),4,4,"底標
--
--
--
--
--
--","在校學業
學測國文
學測社會
學測英文
國語文學業
歷史學業
公社學業",4,"47%
--
--
--
--
--
--",--,
13004,傳播學系(廣告公關組),2,3,"--
--
--
--
底標
--
--","在校學業
學測社會
學測國文
學測英文
國語文學業
歷史學業
公社學業",1,"43%
--
--
--
--
--
--",1,"48%
--
--
--
--
--
--"
13005,傳播學系(流行音樂傳播組),2,3,"底標
--
--
--
--
--
--","在校學業
學測國文
學測社會
學測英文
國語文學業
歷史學業
公社學業",1,"43%
--
--
--
--
--
--",1,"45%
--
--
--
--
--
--"
13006,產品與媒體設計學系(創意產品設計組),2,2,"--
--
--
--
底標
--
--","在校學業
學測社會
學測國文
學測國社
國語文學業
公社學業
英語文學業",2,"35%
--
--
--
--
--
--",--,
13007,產品與媒體設計學系(商業媒體設計組),2,2,"--
--
--
--
底標
--
--","在校學業
學測社會
學測國文
學測國社
國語文學業
公社學業
英語文學業",1,"33%
--
--
--
--
--
--",1,"46%
--
--
--
--
--
--"
13008,資訊應用學系(資訊系統與智慧應用組),1,1,"--
--
--
--
底標
--
--","在校學業
學測國文
學測社會
學測英文
國語文學業
資訊科技學業
歷史學業",1,"32%
--
--
--
--
--
--",--,
13009,資訊應用學系(動畫與數位內容組),0,2,"--
--
--
--
底標
--
--","在校學業
學測國文
學測社會
學測英文
國語文學業
資訊科技學業
歷史學業",0,"--
--
--
--
--
--
--",--,
13010,資訊應用學系(數位遊戲開發組),0,1,"--
--
--
--
底標
--
--","在校學業
學測國文
學測社會
學測英文
國語文學業
資訊科技學業
歷史學業",0,"--
--
--
--
--
--
--",--,
13011,中國文學與應用學系,2,5,"底標
--
--
--
--
--
--","在校學業
學測國文
學測國社
學測社會
學測英文
國語文學業
歷史學業",0,"--
--
--
--
--
--
--",2,"41%
--
--
--
--
--
--"
13012,歷史學系(A組),3,3,"--
--
--
--
底標
--
--","在校學業
學測社會
歷史學業
學測國文
國語文學業
學測英文
英語文學業",3,"36%
--
--
--
--
--
--",--,
13013,歷史學系(B組),3,3,"底標
--
--
--
--
--
--","在校學業
學測國文
歷史學業
學測社會
國語文學業
學測英文
英語文學業",0,"--
--
--
--
--
--
--",3,"42%
--
--
--
--
--
--"
13014,外國語文學系,4,7,"--
底標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會
學測國英
英語文學業
國語文學業",2,"46%
--
--
--
--
--
--",2,"47%
--
--
--
--
--
--"
