校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02701,中國文學系,16,16,"前標
均標
--
--
均標
--
--","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
歷史學業",10,"11%
--
--
--
--
--
--",6,"12%
--
--
--
--
--
--"
02702,外國語文學系,7,7,"前標
前標
--
--
前標
--
--","在校學業
學測英文
學測國文
學測社會
學測國英社
英語文學業
國語文學業",7,"18%
--
--
--
--
--
--",--,
02703,劇場藝術學系,1,1,"均標
均標
--
--
均標
--
--","在校學業
學測國英社
學測國文
學測英文
學測社會
國語文學業
英語文學業",1,"5%
--
--
--
--
--
--",--,
02704,企業管理學系,10,10,"均標
均標
--
均標
--
--
--","在校學業
學測英文
學測數B
學測國文
英語文學業
數學學業
國語文學業",10,"2%
9
--
--
--
--
--",--,
02705,資訊管理學系,5,5,"均標
均標
均標
--
--
--
--","在校學業
學測數A
學測英文
學測國文
數學學業
英語文學業
國語文學業",5,"5%
--
--
--
--
--
--",--,
02706,財務管理學系,7,7,"均標
均標
均標
--
--
--
--","在校學業
學測數A
學測英文
學測國文
數學學業
英語文學業
國語文學業",7,"2%
7
--
--
--
--
--",--,
02706,財務管理學系【外加】,1,2,"均標
均標
均標
--
--
--
--","在校學業
學測數A
學測英文
學測國文
數學學業
英語文學業
國語文學業",1,"8%
--
--
--
--
--
--",--,
02707,國際經營管理全英語學士學位學程,5,5,"--
均標
--
均標
均標
--
--","在校學業
學測英數B社
學測英文
學測數B
學測社會
英語文學業
數學學業",5,"2%
--
--
--
--
--
--",--,
02708,政治經濟學系,6,6,"--
均標
均標
--
--
--
--","在校學業
學測英文
學測數A
學測國文
學測社會
英語文學業
數學學業",6,"5%
--
--
--
--
--
--",--,
02709,社會學系,4,4,"--
均標
--
--
均標
--
--","在校學業
公社學業
英語文學業
學測英社
學測社會
學測英文
學測數B",4,"3%
--
--
--
--
--
--",--,
