校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
04001,管理學院學士班(主修：企業管理),13,15,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",3,"40%
--
--
--
--",10,"39%
--
--
--
--"
04001,管理學院學士班(主修：企業管理)【外加】,0,5,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",0,"--
--
--
--
--",--,
04002,管理學院學士班(主修：財務金融),15,15,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",15,"22%
--
--
--
--",--,
04002,管理學院學士班(主修：財務金融)【外加】,0,5,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",0,"--
--
--
--
--",--,
04003,管理學院學士班(主修：國際企業),15,15,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",7,"30%
--
--
--
--",8,"27%
46
--
--
--"
04003,管理學院學士班(主修：國際企業)【外加】,0,5,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",0,"--
--
--
--
--",--,
04004,管理學院學士班(主修：會計),9,9,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",4,"33%
--
--
--
--",5,"19%
--
--
--
--"
04004,管理學院學士班(主修：會計)【外加】,0,5,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文",0,"--
--
--
--
--",--,
04005,管理學院學士班(英語專班),7,7,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
英文學業
學測國文
學測數學
數學學業",7,"13%
--
--
--
--
--
--",--,
04006,應用外語學系,6,6,"均標
前標
--
均標
--
--
--","在校學業
學測英文
學測國文
學測總級分",4,"29%
--
--
--",2,"22%
--
--
--"
04006,應用外語學系【外加】,0,1,"均標
前標
--
均標
--
--
--","在校學業
學測英文
學測國文
學測總級分",0,"--
--
--
--",--,
04007,中國語文學系,8,8,"--
--
--
--
--
後標
--","在校學業
學測國文
學測英文
國文學業
英文學業
學測社會",6,"36%
--
--
--
--
--",2,"21%
--
--
--
--
--"
04007,中國語文學系【外加】,0,2,"--
--
--
--
--
後標
--","在校學業
學測國文
學測英文
國文學業
英文學業
學測社會",0,"--
--
--
--
--
--",--,
04008,社會暨政策科學學系,8,8,"--
均標
--
均標
--
--
--","在校學業
學測英文
國文學業
公社學業
學測社會
學測數學
歷史學業",4,"34%
--
--
--
--
--
--",4,"22%
--
--
--
--
--
--"
04008,社會暨政策科學學系【外加】,0,2,"--
均標
--
均標
--
--
--","在校學業
學測英文
國文學業
公社學業
學測社會
學測數學
歷史學業",0,"--
--
--
--
--
--
--",--,
