校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03001,醫務管理學系,15,15,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學
英文學業
數學學業",12,"27%
--
--
--
--
--
--",3,"10%
--
--
--
--
--
--"
03001,醫務管理學系【外加】,0,2,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
03002,工商管理學系,6,11,"均標
均標
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
學測總級分
英文學業
公社學業",0,"--
--
--
--
--
--
--",6,"28%
--
--
--
--
--
--"
03003,工業設計學系,2,8,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測自然
學測社會
學測國文",2,"23%
--
--
--
--
--
--",--,
03003,工業設計學系【外加】,0,2,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測自然
學測社會
學測國文",0,"--
--
--
--
--
--
--",--,
03004,資訊管理學系,15,16,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測國文
數學學業
英文學業",4,"29%
--
--
--
--
--
--",11,"30%
--
--
--
--
--
--"
03005,電機工程學系系統與晶片設計組,12,12,"--
均標
--
--
--
--
--","在校學業
學測自然
學測數學
學測英文
物理學業
數學學業
英文學業",12,"18%
--
--
--
--
--
--",--,
03005,電機工程學系系統與晶片設計組【外加】,0,1,"--
均標
--
--
--
--
--","在校學業
學測自然
學測數學
學測英文
物理學業
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
03006,電機工程學系通訊組,12,12,"--
均標
--
--
--
--
--","在校學業
學測自然
學測數學
學測英文
物理學業
數學學業
英文學業",4,"26%
--
--
--
--
--
--",8,"19%
--
--
--
--
--
--"
03006,電機工程學系通訊組【外加】,0,1,"--
均標
--
--
--
--
--","在校學業
學測自然
學測數學
學測英文
物理學業
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
03007,機械工程學系,8,10,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測數學
學測英文
物理學業
數學學業
英文學業",4,"23%
--
--
--
--
--
--",4,"27%
--
--
--
--
--
--"
03008,化工與材料工程學系,12,12,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測數學
學測英文
學測國文
化學學業
數學學業",8,"25%
--
--
--
--
--
--",4,"12%
--
--
--
--
--
--"
03009,電子工程學系,20,20,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
學測數學
學測自然
學測英文
學測國文
學測社會",3,"20%
--
--
--
--
--
--",17,"28%
--
--
--
--
--
--"
03010,資訊工程學系,12,12,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
學測數學
學測英文
學測自然
物理學業
生物學業",6,"26%
--
--
--
--
--
--",6,"18%
--
--
--
--
--
--"
03010,資訊工程學系【外加】,0,1,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
學測數學
學測英文
學測自然
物理學業
生物學業",0,"--
--
--
--
--
--
--",--,
03011,中醫學系,10,10,"頂標
頂標
頂標
前標
頂標
--
--","在校學業
學測總級分
學測自然
學測英文
學測國文
學測數學
學測社會",10,"2%
--
--
--
--
--
--",--,
03012,護理學系,21,21,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
學測社會",21,"9%
55
--
--
--
--
--",--,
03013,醫學生物技術暨檢驗學系,11,11,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
化學學業
學測自然
學測英文
學測數學
生物學業",11,"4%
59
--
--
--
--
--",--,
03014,醫學影像暨放射科學系,7,7,"--
均標
--
--
--
--
--","在校學業
學測總級分
學測自然
學測英文
學測數學
物理學業
英文學業",7,"4%
55
12
--
--
--
--",--,
03014,醫學影像暨放射科學系【外加】,2,2,"--
均標
--
--
--
--
--","在校學業
學測總級分
學測自然
學測英文
學測數學
物理學業
英文學業",2,"20%
--
--
--
--
--
--",--,
03015,物理治療學系,9,9,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
學測英文
生物學業
學測自然
物理學業
學測國文",9,"2%
56
--
--
--
--
--",--,
03016,職能治療學系,5,5,"--
均標
均標
--
均標
--
--","在校學業
學測總級分
學測自然
學測英文
學測數學
學測國文
英文學業",5,"2%
--
--
--
--
--
--",--,
03017,生物醫學系,22,22,"--
均標
均標
--
均標
--
B級","在校學業
學測自然
學測英文
學測數學
化學學業
物理學業
數學學業",22,"27%
--
--
--
--
--
--",--,
03018,呼吸治療學系,9,9,"--
均標
均標
--
均標
--
--","在校學業
學測英文
學測自然
學測數學
英文學業
生物學業
數學學業",9,"5%
--
--
--
--
--
--",--,
