校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
05001,社會工作學系(臺北校區),26,26,"底標
--
--
--
--
--
--","在校學業
學測國文
學測社會
學測數學",18,"43%
--
--
--",8,"34%
--
--
--"
05001,社會工作學系(臺北校區)【外加】,1,5,"底標
--
--
--
--
--
--","在校學業
學測國文
學測社會
學測數學",1,"18%
--
--
--",--,
05002,家庭研究與兒童發展學系(臺北校區),7,7,"底標
--
--
--
--
--
--","在校學業
學測國英社
學測英文
學測國文
英文學業
國文學業",6,"27%
--
--
--
--
--",1,"24%
26
6
--
--
--"
05002,家庭研究與兒童發展學系(臺北校區)【外加】,0,2,"底標
--
--
--
--
--
--","在校學業
學測國英社
學測英文
學測國文
英文學業
國文學業",0,"--
--
--
--
--
--",--,
05003,餐飲管理學系(臺北校區),10,10,"--
底標
--
--
--
--
--","在校學業
學測國英
學測英文",10,"22%
--
--",--,
05003,餐飲管理學系(臺北校區)【外加】,0,2,"--
底標
--
--
--
--
--","在校學業
學測國英
學測英文",0,"--
--
--",--,
05004,服裝設計學系(臺北校區),10,10,"--
後標
--
--
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測社會",10,"15%
--
--
--
--",--,
05005,工業產品設計學系(臺北校區),3,3,"--
均標
--
--
--
--
--","在校學業
學測英數社自
學測英文
學測數學
學測自然
學測社會",3,"11%
--
--
--
--
--",--,
05006,媒體傳達設計學系數位3D動畫設計組(臺北校區),3,3,"後標
後標
--
--
--
--
--","在校學業
學測英文
學測國文",3,"5%
--
--",--,
05007,媒體傳達設計學系創意媒體設計組(臺北校區),3,3,"後標
後標
--
--
--
--
--","在校學業
學測國文
學測英文",3,"5%
--
--",--,
05008,建築設計學系(臺北校區),7,7,"--
後標
--
--
--
--
--","在校學業
學測國英數社
學測英文
學測數學
學測國文
英文學業",7,"15%
--
--
--
--
--",--,
05009,會計學系(臺北校區),21,21,"--
--
--
底標
--
--
--","在校學業
學測英文
學測社會",17,"48%
--
--",4,"24%
--
--"
05009,會計學系(臺北校區)【外加】,0,3,"--
--
--
底標
--
--
--","在校學業
學測英文
學測社會",0,"--
--
--",--,
05010,國際經營與貿易學系(臺北校區),20,20,"--
底標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數學
國文學業
英文學業",18,"50%
--
--
--
--
--
--",2,"23%
--
--
--
--
--
--"
05010,國際經營與貿易學系(臺北校區)【外加】,1,4,"--
底標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數學
國文學業
英文學業",1,"32%
--
--
--
--
--
--",--,
05011,企業管理學系(臺北校區),20,20,"--
底標
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文",17,"49%
--
--
--",3,"31%
--
--
--"
05011,企業管理學系(臺北校區)【外加】,0,4,"--
底標
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
05012,管理學院國際企業英語學士學位學程(臺北校區),2,2,"--
底標
--
--
--
--
--","在校學業
學測英文
學測國文",2,"33%
--
--",--,
05012,管理學院國際企業英語學士學位學程(臺北校區)【外加】,0,2,"--
底標
--
--
--
--
--","在校學業
學測英文
學測國文",0,"--
--
--",--,
05013,財務金融學系(臺北校區),17,17,"--
底標
--
--
--
--
--","在校學業
學測國英數
學測英文
學測數學
學測國文",17,"49%
--
--
--
--",--,
05013,財務金融學系(臺北校區)【外加】,0,4,"--
底標
--
--
--
--
--","在校學業
學測國英數
學測英文
學測數學
學測國文",0,"--
--
--
--
--",--,
05014,風險管理與保險學系(臺北校區),16,20,"--
--
--
底標
--
--
--","在校學業
學測國文
學測英文",4,"45%
--
--",12,"50%
--
--"
05014,風險管理與保險學系(臺北校區)【外加】,1,4,"--
--
--
底標
--
--
--","在校學業
學測國文
學測英文",1,"36%
--
--",--,
