校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03801,教育學系,6,6,"均標
後標
後標
--
--
--
--","在校學業
學測國文
學測數學
學測英文",6,"29%
--
--
--",--,
03802,文化資源與休閒產業學系,9,9,"均標
底標
--
--
--
--
--","在校學業
學測國英
學測國文
學測英文",9,"36%
17
12
--",--,
03803,幼兒教育學系,6,6,"均標
後標
後標
--
--
--
--","在校學業
學測國英數
學測國文
學測英文
學測數學",6,"36%
--
--
--
--",--,
03803,幼兒教育學系【外加】,0,2,"均標
後標
後標
--
--
--
--","在校學業
學測國英數
學測國文
學測英文
學測數學",0,"--
--
--
--
--",--,
03804,特殊教育學系,8,8,"均標
後標
後標
--
--
--
--","在校學業
學測國文
學測英文
學測數學",8,"32%
--
--
--",--,
03805,數位媒體與文教產業學系,3,3,"均標
後標
後標
--
--
--
--","在校學業
學測國文
學測數學",3,"22%
--
--",--,
03806,英美語文學系,8,8,"--
均標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國英數社",8,"24%
--
--
--",--,
03806,英美語文學系【外加】,1,2,"--
均標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國英數社",1,"18%
--
--
--",--,
03807,華語文學系,8,8,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
國文學業
學測社會",8,"36%
--
--
--
--",--,
03807,華語文學系【外加】,0,3,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
國文學業
學測社會",0,"--
--
--
--
--",--,
03808,公共與文化事務學系,14,14,"--
--
--
均標
--
--
--","在校學業
學測社會
學測國文",14,"33%
--
--",--,
03808,公共與文化事務學系【外加】,2,2,"--
--
--
均標
--
--
--","在校學業
學測社會
學測國文",1,"50%
--
--",1,"42%
--
--"
03809,資訊管理學系,16,16,"--
後標
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文",16,"43%
--
--
--",--,
03809,資訊管理學系【外加】,0,3,"--
後標
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
03810,應用數學系,14,14,"--
--
後標
--
--
--
--","在校學業
學測數學",9,"40%
--",5,"32%
7"
03810,應用數學系【外加】,1,2,"--
--
後標
--
--
--
--","在校學業
學測數學",1,"43%
--",--,
03811,應用科學系化學及奈米科學組,16,16,"--
--
--
--
後標
--
--","在校學業
學測自然
學測數學
學測國文",16,"46%
--
--
--",--,
03811,應用科學系化學及奈米科學組【外加】,0,2,"--
--
--
--
後標
--
--","在校學業
學測自然
學測數學
學測國文",0,"--
--
--
--",--,
03812,應用科學系應用物理組,16,16,"--
--
--
--
後標
--
--","在校學業
學測自然
學測數學
學測英文",3,"49%
--
--
--",13,"37%
--
--
--"
03812,應用科學系應用物理組【外加】,0,2,"--
--
--
--
後標
--
--","在校學業
學測自然
學測數學
學測英文",0,"--
--
--
--",--,
03813,資訊工程學系,30,30,"--
--
底標
--
--
--
--","在校學業
學測數學",30,"36%
--",--,
03813,資訊工程學系【外加】,1,4,"--
--
底標
--
--
--
--","在校學業
學測數學",1,"41%
--",--,
03814,綠色與資訊科技學士學位學程,10,10,"--
--
--
--
後標
--
--","在校學業
學測自然",10,"47%
--",--,
03814,綠色與資訊科技學士學位學程【外加】,1,1,"--
--
--
--
後標
--
--","在校學業
學測自然",1,"36%
--",--,
03815,身心整合與運動休閒產業學系,5,5,"後標
後標
--
--
--
--
--","在校學業
學測國文
學測英文",0,"--
--
--",5,"40%
--
--"
03816,生命科學系,17,17,"--
--
--
--
均標
--
--","在校學業
學測自然
學測英文
學測數學
學測國文",10,"43%
--
--
--
--",7,"35%
--
--
--
--"
03816,生命科學系【外加】,0,2,"--
--
--
--
均標
--
--","在校學業
學測自然
學測英文
學測數學
學測國文",0,"--
--
--
--
--",--,
03817,音樂學系,1,1,"底標
--
--
--
--
--
--","在校學業
音樂學業",1,"45%
--",--,
03818,美術產業學系,3,4,"底標
--
--
--
--
--
--","在校學業
術科素描",2,"36%
--",1,"29%
--"
03819,體育學系,5,5,"後標
--
--
--
--
--
--","在校學業
學測國文
學測英文",5,"6%
--
--",--,
