校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02001,中國文學系,10,18,"均標
--
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測社會
學測英文
國文學業
歷史學業",1,"2%
--
--
--
--
--
--",9,"35%
--
--
--
--
--
--"
02001,中國文學系【外加】,0,2,"均標
--
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測社會
學測英文
國文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
02002,歷史學系,2,16,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
學測自然
學測數學",0,"--
--
--
--
--
--
--",2,"30%
--
--
--
--
--
--"
02003,哲學系,2,18,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
英文學業",0,"--
--
--
--
--
--
--",2,"23%
--
--
--
--
--
--"
02003,哲學系【外加】,0,6,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
英文學業",0,"--
--
--
--
--
--
--",--,
02004,景觀設計學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測自然
學測社會",4,"25%
--
--
--
--
--
--",5,"12%
--
--
--
--
--
--"
02005,影像傳播學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學
學測自然",9,"12%
--
--
--
--
--
--",--,
02006,新聞傳播學系,9,9,"前標
--
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
學測數學
學測自然",6,"18%
--
--
--
--
--
--",3,"15%
--
--
--
--
--
--"
02007,廣告傳播學系,9,9,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測數學
學測國文
學測社會
學測自然",6,"29%
--
--
--
--
--
--",3,"12%
--
--
--
--
--
--"
02008,體育學系運動健康管理組,2,4,"--
--
--
--
--
均標
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",2,"33%
--
--
--
--
--
--"
02009,圖書資訊學系,7,9,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",4,"21%
--
--
--
--
--
--",3,"19%
--
--
--
--
--
--"
02010,教育領導與科技發展學士學位學程,3,5,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
學測數學
學測自然",1,"21%
--
--
--
--
--
--",2,"25%
--
--
--
--
--
--"
02011,英國語文學系,9,9,"--
前標
--
--
--
均標
B級","在校學業
學測英文
學測國文
學測總級分
學測社會
英文學業
國文學業",9,"10%
14
--
--
--
--
--",--,
02012,法國語文學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",7,"33%
--
--
--
--
--
--",2,"11%
--
--
--
--
--
--"
02012,法國語文學系【外加】,0,1,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",0,"--
--
--
--
--
--
--",--,
02013,西班牙語文學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測英文
學測國文
學測社會
學測總級分
學測自然
英文學業",9,"23%
--
--
--
--
--
--",--,
02013,西班牙語文學系【外加】,0,2,"均標
均標
--
--
--
均標
--","在校學業
學測英文
學測國文
學測社會
學測總級分
學測自然
英文學業",0,"--
--
--
--
--
--
--",--,
02014,日本語文學系,17,17,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學
學測自然",15,"36%
--
--
--
--
--
--",2,"5%
--
--
--
--
--
--"
02015,義大利語文學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業
歷史學業",0,"--
--
--
--
--
--
--",9,"19%
52
--
--
--
--
--"
02016,德語語文學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測國文
學測英文
學測社會
學測總級分
學測數學
學測自然",9,"20%
--
--
--
--
--
--",--,
02017,織品服裝學系織品設計組,10,10,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測自然
學測社會",5,"23%
--
--
--
--
--
--",5,"38%
--
--
--
--
--
--"
02018,織品服裝學系服飾設計組,4,10,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",2,"8%
--
--
--
--
--
--",2,"16%
--
--
--
--
--
--"
02019,織品服裝學系織品服飾行銷組,15,18,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",2,"9%
--
--
--
--
--
--",13,"39%
--
--
--
--
--
--"
02020,餐旅管理學系,17,17,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",16,"37%
--
--
--
--
--
--",1,"7%
--
--
--
--
--
--"
02021,兒童與家庭學系,6,9,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測數學
學測社會
學測自然",1,"9%
--
--
--
--
--
--",5,"17%
--
--
--
--
--
--"
02022,法律學系,18,18,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",13,"27%
--
--
--
--
--
--",5,"7%
--
--
--
--
--
--"
02022,法律學系【外加】,0,1,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",0,"--
--
--
--
--
--
--",--,
02023,財經法律學系,9,9,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",9,"16%
--
--
--
--
--
--",--,
02023,財經法律學系【外加】,1,1,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",1,"15%
--
--
--
--
--
--",--,
02024,企業管理學系,27,27,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測數學
學測國文
英文學業
數學學業",9,"32%
--
--
--
--
--
--",18,"11%
--
--
--
--
--
--"
02025,會計學系,17,17,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",17,"18%
--
--
--
--
--
--",--,
02026,資訊管理學系,20,20,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測社會
學測自然",7,"23%
--
--
--
--
--
--",13,"23%
--
--
--
--
--
--"
02027,統計資訊學系,12,16,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測自然
學測社會",3,"19%
--
--
--
--
--
--",9,"30%
--
--
--
--
--
--"
02028,金融與國際企業學系,16,16,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測社會
學測自然",16,"16%
--
--
--
--
--
--",--,
02029,社會學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測英文
學測數學
學測國文
學測社會
公社學業
國文學業",1,"24%
--
--
--
--
--
--",8,"13%
--
--
--
--
--
--"
02029,社會學系【外加】,0,1,"--
--
--
--
--
均標
--","在校學業
學測英文
學測數學
學測國文
學測社會
公社學業
國文學業",0,"--
--
--
--
--
--
--",--,
02030,社會工作學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測國文
學測英文
學測社會
學測總級分
國文學業
英文學業",9,"34%
--
--
--
--
--
--",--,
02031,經濟學系,15,18,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
數學學業
英文學業",2,"31%
--
--
--
--
--
--",13,"38%
--
--
--
--
--
--"
02032,宗教學系,2,8,"--
--
--
--
--
後標
--","在校學業
學測國文
學測社會
學測總級分
國文學業
學測英文
公社學業",0,"--
--
--
--
--
--
--",2,"31%
--
--
--
--
--
--"
02033,數學系資訊數學組,1,8,"--
--
前標
--
--
均標
--","在校學業
學測數學
學測英文
學測自然
數學學業
英文學業
物理學業",0,"--
--
--
--
--
--
--",1,"40%
--
--
--
--
--
--"
02034,數學系應用數學組,7,9,"--
--
前標
--
--
均標
--","在校學業
學測數學
學測英文
學測自然
數學學業
英文學業
物理學業",1,"12%
--
--
--
--
--
--",6,"35%
--
--
--
--
--
--"
02035,化學系,27,27,"--
後標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學
學測國文
學測社會",1,"15%
--
--
--
--
--
--",26,"34%
--
--
--
--
--
--"
02035,化學系【外加】,0,3,"--
後標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學
學測國文
學測社會",0,"--
--
--
--
--
--
--",--,
02036,資訊工程學系,22,22,"--
--
後標
--
--
均標
--","在校學業
學測數學
學測英文
學測自然
數學學業
英文學業
物理學業",3,"26%
--
--
--
--
--
--",19,"26%
--
--
--
--
--
--"
02036,資訊工程學系【外加】,0,2,"--
--
後標
--
--
均標
--","在校學業
學測數學
學測英文
學測自然
數學學業
英文學業
物理學業",0,"--
--
--
--
--
--
--",--,
02037,物理學系物理組,8,13,"--
後標
均標
--
均標
均標
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會
學測總級分",0,"--
--
--
--
--
--
--",8,"40%
--
--
--
--
--
--"
02037,物理學系物理組【外加】,0,1,"--
後標
均標
--
均標
均標
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會
學測總級分",0,"--
--
--
--
--
--
--",--,
02038,物理學系光電物理組,6,13,"--
後標
均標
--
均標
均標
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會
學測總級分",0,"--
--
--
--
--
--
--",6,"36%
--
--
--
--
--
--"
02038,物理學系光電物理組【外加】,0,1,"--
後標
均標
--
均標
均標
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會
學測總級分",0,"--
--
--
--
--
--
--",--,
02039,電機工程學系電腦與通訊工程組,6,10,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測自然
學測國文
學測社會",1,"36%
--
--
--
--
--
--",5,"37%
--
--
--
--
--
--"
02040,電機工程學系系統與晶片設計組,6,10,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測自然
學測國文
學測社會",0,"--
--
--
--
--
--
--",6,"40%
--
--
--
--
--
--"
02041,醫學資訊與創新應用學士學位學程,7,7,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測自然
學測國文
學測社會",0,"--
--
--
--
--
--
--",7,"22%
--
--
--
--
--
--"
02042,護理學系,15,15,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測自然
學測社會",15,"14%
--
--
--
--
--
--",--,
02043,公共衛生學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
學測社會",3,"19%
--
--
--
--
--
--",6,"15%
--
--
--
--
--
--"
02043,公共衛生學系【外加】,0,1,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
學測社會",0,"--
--
--
--
--
--
--",--,
02044,臨床心理學系,9,9,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
學測社會",9,"14%
59
--
--
--
--
--",--,
02044,臨床心理學系【外加】,2,2,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
學測社會",2,"26%
--
--
--
--
--
--",--,
02045,職能治療學系,11,11,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測自然
學測數學
學測社會",11,"9%
--
--
--
--
--
--",--,
02046,呼吸治療學系,6,6,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測英文
學測自然
學測數學
學測國文
學測社會",6,"14%
--
--
--
--
--
--",--,
02047,生命科學系,17,20,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學
學測國文
生物學業",0,"--
--
--
--
--
--
--",17,"40%
--
--
--
--
--
--"
02047,生命科學系【外加】,1,5,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學
學測國文
生物學業",1,"40%
--
--
--
--
--
--",--,
02048,食品科學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測自然
學測數學
學測國文
學測社會",5,"26%
--
--
--
--
--
--",4,"12%
--
--
--
--
--
--"
02049,營養科學系,9,9,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測英文
學測自然
學測數學
學測國文
學測社會",9,"38%
--
--
--
--
--
--",--,
02049,營養科學系【外加】,0,2,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測英文
學測自然
學測數學
學測國文
學測社會",0,"--
--
--
--
--
--
--",--,
02050,心理學系,9,9,"後標
後標
後標
--
--
均標
--","在校學業
生物學業
學測數學
學測英文
學測國文
數學學業
英文學業",9,"14%
16%
--
--
--
--
--",--,
02051,音樂學系器樂組《鋼琴》,1,1,"後標
後標
--
--
--
--
--","在校學業
音樂學業
術科主修
學測英文
學測國文
術科聽寫
術科樂理",1,"1%
--
--
--
--
--
--",--,
02051,音樂學系器樂組《聲樂》,0,1,"後標
後標
--
--
--
--
--","在校學業
音樂學業
術科主修
學測英文
學測國文
術科聽寫
術科樂理",0,"--
--
--
--
--
--
--",--,
02051,音樂學系器樂組《小提琴》,1,1,"後標
後標
--
--
--
--
--","在校學業
音樂學業
術科主修
學測英文
學測國文
術科聽寫
術科樂理",1,"1%
1%
--
--
--
--
--",--,
02051,音樂學系器樂組《中提琴》,0,1,"後標
後標
--
--
--
--
--","在校學業
音樂學業
術科主修
學測英文
學測國文
術科聽寫
術科樂理",0,"--
--
--
--
--
--
--",--,
02051,音樂學系器樂組《低音提琴》,1,1,"後標
後標
--
--
--
--
--","在校學業
音樂學業
術科主修
學測英文
學測國文
術科聽寫
術科樂理",1,"23%
--
--
--
--
--
--",--,
02051,音樂學系器樂組《長號》,0,1,"後標
後標
--
--
--
--
--","在校學業
音樂學業
術科主修
學測英文
學測國文
術科聽寫
術科樂理",0,"--
--
--
--
--
--
--",--,
02052,應用美術學系,2,9,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
美術學業
英文學業
國文學業",2,"23%
--
--
--
--
--
--",--,
02052,應用美術學系【外加】,0,1,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
美術學業
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
