校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
00101,中國文學系,6,6,"頂標
前標
前標
前標
前標
--
--","在校學業
學測國文
學測英文
國文學業
英文學業
學測社會
歷史學業",3,"3%
--
--
--
--
--
--",3,"1%
15
--
--
--
--
--"
00102,外國語文學系,10,10,"前標
頂標
--
前標
--
--
--","在校學業
學測英文
學測國文
英文學業
國文學業
學測社會
歷史學業",10,"1%
14
--
--
--
--
--",--,
00103,歷史學系,5,5,"前標
前標
均標
前標
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
歷史學業",1,"2%
--
--
--
--
--
--",4,"2%
67
--
--
--
--
--"
00104,哲學系,4,4,"前標
前標
均標
前標
均標
--
--","在校學業
學測總級分
學測英文
學測數學
學測國文
學測社會
英文學業",0,"--
--
--
--
--
--
--",4,"2%
--
--
--
--
--
--"
00105,人類學系,6,6,"前標
前標
--
前標
均標
--
--","在校學業
學測英文
學測社會
學測總級分
英文學業
學測國文
歷史學業",5,"16%
--
--
--
--
--
--",1,"1%
14
15
--
--
--
--"
00105,人類學系【外加】,0,1,"前標
前標
--
前標
均標
--
--","在校學業
學測英文
學測社會
學測總級分
英文學業
學測國文
歷史學業",0,"--
--
--
--
--
--
--",--,
00106,圖書資訊學系,5,5,"前標
前標
均標
均標
均標
--
--","在校學業
國文學業
英文學業
學測國文
學測英文
學測數學
數學學業",5,"1%
2%
5%
--
--
--
--",--,
00107,日本語文學系,5,5,"前標
前標
均標
均標
--
--
--","在校學業
學測英文
學測社會
學測國文
學測數學
英文學業",5,"2%
--
--
--
--
--",--,
00108,戲劇學系,2,2,"前標
前標
均標
均標
均標
--
--","在校學業
學測英文
學測國文
學測總級分
學測數學
英文學業
國文學業",2,"16%
14
--
--
--
--
--",--,
00109,政治學系政治理論組,8,8,"前標
前標
均標
前標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
英文學業
國文學業",5,"7%
--
--
--
--
--
--",3,"1%
64
--
--
--
--
--"
00110,政治學系國際關係組,8,8,"前標
前標
均標
前標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
英文學業
國文學業",8,"2%
--
--
--
--
--
--",--,
00111,政治學系公共行政組,8,8,"前標
前標
均標
前標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
英文學業
國文學業",8,"5%
--
--
--
--
--
--",--,
00112,經濟學系,11,11,"--
前標
頂標
前標
頂標
--
--","在校學業
學測總級分
數學學業
學測英文
英文學業
學測自然",11,"9%
--
--
--
--
--",--,
