校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01501,會計學系,39,39,"--
後標
--
--
--
--
--","在校學業
學測數學
學測國文
學測英文",39,"30%
--
--
--",--,
01501,會計學系【外加】,0,1,"--
後標
--
--
--
--
--","在校學業
學測數學
學測國文
學測英文",0,"--
--
--
--",--,
01502,國際經營與貿易學系,30,30,"--
均標
後標
均標
--
--
--","在校學業
學測國英數社
學測英文
學測數學",16,"40%
--
--
--",14,"22%
--
--
--"
01502,國際經營與貿易學系【外加】,1,1,"--
均標
後標
均標
--
--
--","在校學業
學測國英數社
學測英文
學測數學",1,"24%
--
--
--",--,
01503,"國際經營與貿易學系國際企業管理全英
語學士班",3,3,"--
前標
--
均標
--
--
B級","在校學業
學測國英社
學測英文
學測社會",3,"17%
--
--
--",--,
01503,"國際經營與貿易學系國際企業管理全英
語學士班【外加】",0,1,"--
前標
--
均標
--
--
B級","在校學業
學測國英社
學測英文
學測社會",0,"--
--
--
--",--,
01504,財稅學系,20,20,"--
--
--
後標
--
--
--","在校學業
學測英文
學測數學
學測國文",16,"44%
--
--
--",4,"15%
11
--
--"
01504,財稅學系【外加】,0,1,"--
--
--
後標
--
--
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
01505,合作經濟暨社會事業經營學系,18,18,"--
--
--
後標
--
--
--","在校學業
學測國英數社
學測英文
學測國文",2,"49%
--
--
--",16,"26%
--
--
--"
01505,合作經濟暨社會事業經營學系【外加】,0,1,"--
--
--
後標
--
--
--","在校學業
學測國英數社
學測英文
學測國文",0,"--
--
--
--",--,
01506,統計學系商業大數據組,9,9,"--
--
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文",2,"42%
--
--
--",7,"45%
--
--
--"
01506,統計學系商業大數據組【外加】,0,1,"--
--
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文",0,"--
--
--
--",--,
01507,統計學系大數據分析與市場決策組,9,9,"--
--
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文",2,"21%
--
--
--",7,"33%
--
--
--"
01507,"統計學系大數據分析與市場決策組【外
加】",0,1,"--
--
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文",0,"--
--
--
--",--,
01508,經濟學系,19,19,"--
--
後標
--
--
--
--","在校學業
學測數學
學測英文
學測國文",11,"44%
--
--
--",8,"18%
9
--
--"
01508,經濟學系【外加】,0,1,"--
--
後標
--
--
--
--","在校學業
學測數學
學測英文
學測國文",0,"--
--
--
--",--,
01509,企業管理學系,23,23,"後標
後標
後標
--
--
--
--","在校學業
學測國英數
學測英文
學測數學",13,"49%
--
--
--",10,"23%
31
--
--"
01509,企業管理學系【外加】,0,1,"後標
後標
後標
--
--
--
--","在校學業
學測國英數
學測英文
學測數學",0,"--
--
--
--",--,
01510,行銷學系,17,17,"--
--
--
均標
--
--
--","在校學業
學測國英數社
學測社會
學測國文",13,"41%
--
--
--",4,"15%
--
--
--"
01510,行銷學系【外加】,1,1,"--
--
--
均標
--
--
--","在校學業
學測國英數社
學測社會
學測國文",1,"43%
--
--
--",--,
01511,中國文學系,6,8,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會",0,"--
--
--
--",6,"46%
--
--
--"
01511,中國文學系【外加】,0,1,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會",0,"--
--
--
--",--,
01512,外國語文學系,11,11,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業",8,"42%
--
--
--",3,"27%
12
--
--"
01512,外國語文學系【外加】,0,1,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業",0,"--
--
--
--",--,
01513,都市計畫與空間資訊學系,18,18,"後標
--
--
後標
--
--
--","在校學業
學測國英社
學測社會
學測國文
學測英文",4,"39%
--
--
--
--",14,"33%
--
--
--
--"
01513,都市計畫與空間資訊學系【外加】,0,1,"後標
--
--
後標
--
--
--","在校學業
學測國英社
學測社會
學測國文
學測英文",0,"--
--
--
--
--",--,
01514,運輸與物流學系,21,21,"後標
後標
後標
--
--
--
--","在校學業
學測英文
學測國文
學測數學",9,"45%
--
--
--",12,"39%
13
--
--"
01514,運輸與物流學系【外加】,0,1,"後標
後標
後標
--
--
--
--","在校學業
學測英文
學測國文
學測數學",0,"--
--
--
--",--,
01515,土地管理學系,18,18,"後標
後標
--
後標
--
--
--","在校學業
學測國英社
學測國文
學測社會",4,"22%
--
--
--",14,"43%
--
--
--"
01515,土地管理學系【外加】,0,1,"後標
後標
--
後標
--
--
--","在校學業
學測國英社
學測國文
學測社會",0,"--
--
--
--",--,
01516,財務金融學系,22,22,"--
均標
後標
--
--
--
--","在校學業
學測英文
學測數學
學測國文",10,"40%
--
--
--",12,"17%
--
--
--"
01516,財務金融學系【外加】,0,1,"--
均標
後標
--
--
--
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
01517,風險管理與保險學系,12,12,"--
後標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",3,"39%
--
--
--",9,"27%
--
--
--"
01517,風險管理與保險學系【外加】,0,1,"--
後標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",0,"--
--
--
--",--,
01518,財務工程與精算學士學位學程,5,5,"--
後標
均標
--
--
--
--","在校學業
數學學業
學測數學
學測英文",3,"38%
--
--
--",2,"37%
--
--
--"
01518,財務工程與精算學士學位學程【外加】,0,1,"--
後標
均標
--
--
--
--","在校學業
數學學業
學測數學
學測英文",0,"--
--
--
--",--,
01519,"澳洲墨爾本皇家理工大學商學與創新雙
學士學位學程",1,1,"--
前標
--
--
--
--
--","在校學業
學測國英數
學測英文
學測數學
學測國文",1,"12%
--
--
--
--",--,
01520,"美國加州聖荷西州立大學大數據雙學士
學位學程",1,1,"--
前標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測英數",1,"20%
--
--
--",--,
01521,機械與電腦輔助工程學系,26,26,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",6,"49%
--
--
--",20,"37%
42
--
--"
01521,機械與電腦輔助工程學系【外加】,0,1,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",0,"--
--
--
--",--,
01522,纖維與複合材料學系,13,13,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",0,"--
--
--
--",13,"39%
--
--
--"
01522,纖維與複合材料學系【外加】,0,1,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",0,"--
--
--
--",--,
01523,工業工程與系統管理學系,13,13,"--
--
後標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文",4,"47%
--
--
--",9,"35%
--
--
--"
01523,工業工程與系統管理學系【外加】,0,1,"--
--
後標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文",0,"--
--
--
--",--,
01524,化學工程學系,22,22,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",12,"35%
--
--
--",10,"23%
--
--
--"
01524,化學工程學系【外加】,1,1,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",1,"23%
--
--
--",--,
01525,航太與系統工程學系,16,16,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",16,"36%
--
--
--",--,
01525,航太與系統工程學系【外加】,1,1,"--
--
--
--
後標
--
--","在校學業
學測國英數自
學測數學
學測自然",1,"48%
--
--
--",--,
01526,精密系統設計學士學位學程,5,5,"--
--
後標
--
--
--
--","在校學業
學測國英數
物理學業
學測數學",1,"7%
--
--
--",4,"39%
--
--
--"
