校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
00601,中國文學系,14,14,"頂標
--
--
--
--
--
--","在校學業
國文學業
英文學業
歷史學業
地理學業
學測國文
學測社會",14,"2%
--
--
--
--
--
--",--,
00602,歷史學系,8,8,"前標
前標
--
前標
--
--
--","在校學業
歷史學業
國文學業
英文學業
地理學業
學測社會
學測國文",2,"9%
--
--
--
--
--
--",6,"3%
--
--
--
--
--
--"
00603,哲學系,8,8,"前標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
公社學業
英文學業",3,"15%
--
--
--
--
--
--",5,"3%
48
--
--
--
--
--"
00603,哲學系【外加】,0,1,"前標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
公社學業
英文學業",0,"--
--
--
--
--
--
--",--,
00604,教育學系,8,8,"--
前標
--
--
--
--
B級","在校學業
學測英文
學測國英數社
學測國文
學測數學
英文學業
國文學業",8,"1%
--
--
--
--
--
--",--,
00605,政治學系,7,7,"--
均標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測英社
學測數學
英文學業
公社學業",7,"1%
12
11
23
9
--
--",--,
00605,政治學系【外加】,3,3,"--
均標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測英社
學測數學
英文學業
公社學業",3,"9%
--
--
--
--
--
--",--,
00606,社會學系,7,7,"均標
前標
均標
--
--
--
--","在校學業
數學學業
英文學業
國文學業
公社學業
學測數學
學測英文",7,"4%
10%
--
--
--
--
--",--,
00606,社會學系【外加】,0,1,"均標
前標
均標
--
--
--
--","在校學業
數學學業
英文學業
國文學業
公社學業
學測數學
學測英文",0,"--
--
--
--
--
--
--",--,
00607,財政學系,14,14,"均標
均標
前標
--
--
--
B級","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業",10,"11%
--
--
--
--
--",4,"2%
--
--
--
--
--"
00608,公共行政學系,10,9,"均標
前標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測國文
英文學業
公社學業
國文學業",10,"1%＊
13
12
12
1%
2%
2%",--,
00608,公共行政學系【外加】,1,1,"均標
前標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測國文
英文學業
公社學業
國文學業",1,"1%
--
--
--
--
--
--",--,
00609,地政學系土地資源規劃組,7,7,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",7,"2%
49
--
--
--
--
--",--,
00609,地政學系土地資源規劃組【外加】,0,1,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",0,"--
--
--
--
--
--
--",--,
00610,地政學系土地管理組,7,7,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",7,"1%
48
--
--
--
--
--",--,
00610,地政學系土地管理組【外加】,0,1,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",0,"--
--
--
--
--
--
--",--,
00611,經濟學系社會組,7,7,"--
前標
前標
--
--
--
--","在校學業
學測國英數社
學測數學
學測英文
學測國文
數學學業
英文學業",5,"6%
--
--
--
--
--
--",2,"2%
--
--
--
--
--
--"
00611,經濟學系社會組【外加】,0,1,"--
前標
前標
--
--
--
--","在校學業
學測國英數社
學測數學
學測英文
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
