校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01501,會計學系,39,39,"--
後標
--
--
--
--
--","在校學業
學測數學
學測國文
學測英文
學測社會
學測國英數社
英文學業",27,"39%
--
--
--
--
--
--",12,"15%
7
--
--
--
--
--"
01501,會計學系【外加】,1,1,"--
後標
--
--
--
--
--","在校學業
學測數學
學測國文
學測英文
學測社會
學測國英數社
英文學業",1,"47%
--
--
--
--
--
--",--,
01502,國際經營與貿易學系,30,30,"--
均標
後標
均標
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測數學
英文學業
國文學業",16,"40%
--
--
--
--
--
--",14,"20%
--
--
--
--
--
--"
01502,國際經營與貿易學系【外加】,0,1,"--
均標
後標
均標
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測數學
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
01503,國際企業管理全英語學士學位學程,2,3,"--
前標
--
均標
--
--
B級","在校學業
學測國英社
學測英文
學測社會
英文學業
學測國文
學測數學",0,"--
--
--
--
--
--
--",2,"31%
--
--
--
--
--
--"
01503,"國際企業管理全英語學士學位學程【外
加】",0,1,"--
前標
--
均標
--
--
B級","在校學業
學測國英社
學測英文
學測社會
英文學業
學測國文
學測數學",0,"--
--
--
--
--
--
--",--,
01504,財稅學系,20,20,"--
--
--
後標
--
--
--","在校學業
學測國英數社
學測英文
學測數學
學測國文
學測社會
英文學業",20,"27%
--
--
--
--
--
--",--,
01504,財稅學系【外加】,0,1,"--
--
--
後標
--
--
--","在校學業
學測國英數社
學測英文
學測數學
學測國文
學測社會
英文學業",0,"--
--
--
--
--
--
--",--,
01505,合作經濟暨社會事業經營學系,17,17,"--
--
--
後標
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測社會
英文學業
國文學業",4,"39%
--
--
--
--
--
--",13,"24%
38
--
--
--
--
--"
01505,合作經濟暨社會事業經營學系【外加】,0,1,"--
--
--
後標
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測社會
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
01506,統計學系商業大數據組,9,9,"--
--
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業
學測社會",4,"21%
--
--
--
--
--
--",5,"20%
--
--
--
--
--
--"
01506,統計學系商業大數據組【外加】,0,1,"--
--
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業
學測社會",0,"--
--
--
--
--
--
--",--,
01507,統計學系大數據分析與市場決策組,9,9,"--
--
均標
後標
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業
學測社會",0,"--
--
--
--
--
--
--",9,"32%
27
--
--
--
--
--"
01507,"統計學系大數據分析與市場決策組【外
加】",0,1,"--
--
均標
後標
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業
學測社會",0,"--
--
--
--
--
--
--",--,
01508,經濟學系,19,19,"--
--
後標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
學測社會
數學學業
英文學業",7,"36%
--
--
--
--
--
--",12,"22%
7
--
--
--
--
--"
01508,經濟學系【外加】,0,1,"--
--
後標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
學測社會
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
01509,企業管理學系,23,23,"後標
後標
後標
--
--
--
--","在校學業
學測國英數
學測英文
學測數學
學測國文
英文學業
數學學業",9,"37%
--
--
--
--
--
--",14,"18%
21
--
--
--
--
--"
01509,企業管理學系【外加】,0,1,"後標
後標
後標
--
--
--
--","在校學業
學測國英數
學測英文
學測數學
學測國文
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
01510,行銷學系,17,17,"--
均標
--
均標
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測社會
英文學業
國文學業",10,"44%
--
--
--
--
--
--",7,"31%
--
--
--
--
--
--"
01510,行銷學系【外加】,0,1,"--
均標
--
均標
--
--
--","在校學業
學測國英數社
學測英文
學測國文
學測社會
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
01511,中國文學系,8,8,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業
歷史學業",0,"--
--
--
--
--
--
--",8,"34%
--
--
--
--
--
--"
01511,中國文學系【外加】,0,1,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
