校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03501,教育學系,12,12,"均標
後標
--
後標
--
--
--","在校學業
學測國文
學測數B
學測英文
學測社會
國語文學業
數學學業",12,"3%
11
7
--
--
--
--",--,
03501,教育學系【外加】,2,2,"均標
後標
--
後標
--
--
--","在校學業
學測國文
學測數B
學測英文
學測社會
國語文學業
數學學業",2,"14%
--
--
--
--
--
--",--,
03502,特殊教育學系,9,9,"均標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測數B
國語文學業
英語文學業
數學學業",9,"15%
11
--
--
--
--
--",--,
03502,特殊教育學系【外加】,0,1,"均標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測數B
國語文學業
英語文學業
數學學業",0,"--
--
--
--
--
--
--",--,
03503,幼兒教育學系,18,18,"均標
均標
--
--
均標
--
--","在校學業
學測英文
學測國文
學測社會
學測國英社
英語文學業
國語文學業",18,"14%
--
--
--
--
--
--",--,
03503,幼兒教育學系【外加】,1,2,"均標
均標
--
--
均標
--
--","在校學業
學測英文
學測國文
學測社會
學測國英社
英語文學業
國語文學業",1,"31%
--
--
--
--
--
--",--,
03504,心理與諮商學系,15,15,"均標
均標
--
均標
均標
--
--","在校學業
學測國英數B社
學測英文
學測國文
學測數B
學測社會
英語文學業",15,"9%
46
--
--
--
--
--",--,
03504,心理與諮商學系【外加】,2,2,"均標
均標
--
均標
均標
--
--","在校學業
學測國英數B社
學測英文
學測國文
學測數B
學測社會
英語文學業",2,"43%
--
--
--
--
--
--",--,
03505,學習與媒材設計學系,8,8,"均標
均標
--
均標
均標
--
--","在校學業
學測國文
學測英文
學測社會
學測數B
國語文學業
英語文學業",8,"17%
12
--
--
--
--
--",--,
03506,中國語文學系,10,10,"均標
底標
--
--
均標
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測國英
學測英文",10,"10%
10
15%
--
--
--
--",--,
03506,中國語文學系【外加】,0,6,"均標
底標
--
--
均標
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測國英
學測英文",0,"--
--
--
--
--
--
--",--,
03507,英語教學系,6,6,"前標
前標
--
均標
--
--
A級","在校學業
學測英文
學測國文
學測數B
英語文學業
國語文學業
數學學業",6,"20%
--
--
--
--
--
--",--,
03507,英語教學系【外加】,0,2,"前標
前標
--
均標
--
--
A級","在校學業
學測英文
學測國文
學測數B
英語文學業
國語文學業
數學學業",0,"--
--
--
--
--
--
--",--,
03508,社會暨公共事務學系,6,6,"均標
均標
--
--
均標
--
--","在校學業
公社學業
國語文學業
英語文學業
學測社會
學測國文
學測英文",6,"6%
1%
--
--
--
--
--",--,
03508,社會暨公共事務學系【外加】,2,2,"均標
均標
--
--
均標
--
--","在校學業
公社學業
國語文學業
英語文學業
學測社會
學測國文
學測英文",1,"6%
--
--
--
--
--
--",1,"45%
--
--
--
--
--
--"
03509,歷史與地理學系,18,23,"均標
均標
--
均標
均標
--
--","在校學業
學測國英數B社
學測國文
學測英文
學測社會
學測數B
國語文學業",16,"41%
--
--
--
--
--
--",2,"46%
--
--
--
--
--
--"
03509,歷史與地理學系【外加】,0,3,"均標
均標
--
均標
均標
--
--","在校學業
學測國英數B社
學測國文
學測英文
學測社會
學測數B
國語文學業",0,"--
--
--
--
--
--
--",--,
03510,城市發展學系,8,8,"均標
均標
--
--
前標
--
B級","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
地理學業",8,"14%
11
11
--
--
--
--",--,
03510,城市發展學系【外加】,0,1,"均標
均標
--
--
前標
--
B級","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
地理學業",0,"--
--
--
--
--
--
--",--,
03511,都會產業經營與行銷學系,9,9,"均標
均標
--
均標
--
--
--","在校學業
學測英文
學測數B
學測國文
英語文學業
數學學業
國語文學業",9,"9%
--
--
--
--
--
--",--,
03511,都會產業經營與行銷學系【外加】,0,1,"均標
均標
--
均標
--
--
--","在校學業
學測英文
學測數B
學測國文
英語文學業
數學學業
國語文學業",0,"--
--
--
--
--
--
--",--,
03512,視覺藝術學系,8,8,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會
學測國英
英語文學業
國語文學業",8,"9%
12
--
--
--
--
--",--,
03512,視覺藝術學系【外加】,1,1,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會
學測國英
英語文學業
國語文學業",1,"33%
--
--
--
--
--
--",--,
03513,地球環境暨生物資源學系,10,10,"--
均標
均標
--
--
均標
--","在校學業
學測自然
生物學業
地科學業
學測國文
學測英文
學測數A",10,"45%
--
--
--
--
--
--",--,
03513,地球環境暨生物資源學系【外加】,0,2,"--
均標
均標
--
--
均標
--","在校學業
學測自然
生物學業
地科學業
學測國文
學測英文
學測數A",0,"--
--
--
--
--
--
--",--,
03514,應用物理暨化學系電子物理組,3,3,"--
均標
均標
--
--
均標
--","在校學業
學測自然
學測英文
學測數A
物理學業
化學學業
英語文學業",3,"38%
--
--
--
--
--
--",--,
03514,應用物理暨化學系電子物理組【外加】,0,2,"--
均標
均標
--
--
均標
--","在校學業
學測自然
學測英文
學測數A
物理學業
化學學業
英語文學業",0,"--
--
--
--
--
--
--",--,
03515,應用物理暨化學系應用化學組,3,3,"--
均標
均標
--
--
均標
--","在校學業
學測自然
學測英文
學測數A
化學學業
物理學業
英語文學業",3,"14%
--
--
--
--
--
--",--,
