校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03401,企業管理學系,7,7,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
英文學業
數學學業",4,"27%
--
--
--
--
--",3,"18%
--
--
--
--
--"
03402,會計學系,5,5,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
數學學業
英文學業
學測國文",5,"6%
--
--
--
--
--
--",--,
03402,會計學系【外加】,0,2,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
數學學業
英文學業
學測國文",0,"--
--
--
--
--
--
--",--,
03403,資訊管理學系,5,5,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
數學學業
英文學業",3,"23%
--
--
--
--
--
--",2,"22%
--
--
--
--
--
--"
03404,國際企業學系,11,11,"--
均標
均標
--
--
--
--","在校學業
學測總級分
學測英文
學測數學
英文學業
數學學業
學測國文",11,"21%
--
--
--
--
--
--",--,
03405,財務金融學系,10,10,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測國文
數學學業
英文學業",10,"18%
--
--
--
--
--
--",--,
03405,財務金融學系【外加】,0,3,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
03406,觀光暨休閒遊憩學系,10,10,"均標
--
--
均標
--
--
--","在校學業
數學學業
學測英文
學測總級分
英文學業
學測國文
學測社會",10,"29%
--
--
--
--
--
--",--,
03406,觀光暨休閒遊憩學系【外加】,1,1,"均標
--
--
均標
--
--
--","在校學業
數學學業
學測英文
學測總級分
英文學業
學測國文
學測社會",1,"10%
--
--
--
--
--
--",--,
03407,華文文學系,5,5,"均標
--
--
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
歷史學業",5,"8%
--
--
--
--
--
--",--,
03407,華文文學系【外加】,0,2,"均標
--
--
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
03408,中國語文學系,7,7,"均標
--
--
--
--
--
--","在校學業
學測國文
學測總級分
國文學業
學測社會
學測英文",7,"15%
--
--
--
--
--",--,
03409,英美語文學系,7,7,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
學測總級分
國文學業
歷史學業",7,"5%
--
--
--
--
--
--",--,
03409,英美語文學系【外加】,0,2,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
學測總級分
國文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
03410,臺灣文化學系,12,12,"--
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測社會
英文學業
地理學業
歷史學業",6,"30%
--
--
--
--
--
--",6,"18%
--
--
--
--
--
--"
03411,歷史學系,12,12,"--
--
--
均標
--
--
--","在校學業
學測總級分
學測社會
歷史學業
學測英文
英文學業
學測國文",12,"18%
44
--
--
--
--
--",--,
03411,歷史學系【外加】,0,1,"--
--
--
均標
--
--
--","在校學業
學測總級分
學測社會
歷史學業
學測英文
英文學業
學測國文",0,"--
--
--
--
--
--
--",--,
03412,經濟學系,8,8,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
數學學業
學測英文
英文學業
國文學業",3,"28%
--
--
--
--
--
--",5,"20%
--
--
--
--
--
--"
03412,經濟學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測數學
數學學業
學測英文
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
03413,諮商與臨床心理學系,10,10,"--
均標
均標
--
--
--
--","在校學業
學測英文
學測總級分
學測數學
學測國文
英文學業
國文學業",10,"13%
--
--
--
--
--
--",--,
03413,諮商與臨床心理學系【外加】,0,2,"--
均標
均標
--
--
--
--","在校學業
學測英文
學測總級分
學測數學
學測國文
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
03414,社會學系,7,7,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
公社學業",7,"14%
--
--
--
--
--",--,
03414,社會學系【外加】,0,3,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
公社學業",0,"--
--
--
--
--
--",--,
03415,公共行政學系,5,5,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測社會
學測國文
公社學業",5,"7%
54
--
--
--
--",--,
03415,公共行政學系【外加】,0,2,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測社會
學測國文
公社學業",0,"--
--
--
--
--
--",--,
03416,法律學士學位學程,3,3,"均標
均標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測總級分
國文學業
英文學業",3,"5%
--
--
--
--
--
--",--,
03416,法律學士學位學程【外加】,1,1,"均標
均標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測總級分
國文學業
英文學業",1,"24%
--
--
--
--
--
--",--,
03417,教育與潛能開發學系,4,4,"均標
--
--
均標
--
--
--","在校學業
學測國文
學測英文
學測數學
學測總級分
公社學業",4,"13%
--
--
--
--
--",--,
03417,教育與潛能開發學系【外加】,0,2,"均標
--
--
均標
--
--
--","在校學業
學測國文
學測英文
學測數學
學測總級分
公社學業",0,"--
--
--
--
--
--",--,
03418,教育行政與管理學系,7,7,"均標
--
--
均標
--
--
--","在校學業
學測總級分
學測國文
學測英文
數學學業
國文學業
英文學業",7,"12%
--
--
--
--
--
--",--,
03418,教育行政與管理學系【外加】,1,1,"均標
--
--
均標
--
--
--","在校學業
學測總級分
學測國文
學測英文
數學學業
國文學業
英文學業",1,"27%
--
--
--
--
--
--",--,
03419,特殊教育學系,4,7,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學
國文學業
英文學業",2,"29%
--
--
--
--
--
--",2,"21%
--
--
--
--
--
--"
03420,幼兒教育學系,7,7,"--
--
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業",7,"9%
43
--
--
--
--",--,
03421,族群關係與文化學系,5,5,"均標
--
--
均標
--
--
--","在校學業
學測總級分
學測國文
學測社會
學測英文
國文學業
英文學業",2,"28%
--
--
--
--
--
--",3,"21%
--
--
--
--
--
--"
