校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02301,輔導與諮商學系學校輔導與諮商組,10,10,"前標
前標
前標
均標
均標
--
B級","在校學業
學測總級分
學測國文
學測英文
學測數學",10,"17%
--
--
--
--",--,
02301,輔導與諮商學系學校輔導與諮商組【外加】,0,1,"前標
前標
前標
均標
均標
--
B級","在校學業
學測總級分
學測國文
學測英文
學測數學",0,"--
--
--
--
--",--,
02302,輔導與諮商學系社區輔導與諮商組,5,10,"前標
前標
前標
均標
均標
--
B級","在校學業
學測總級分
學測國文
學測英文
學測數學",2,"5%
--
--
--
--",3,"12%
--
--
--
--"
02302,輔導與諮商學系社區輔導與諮商組【外加】,0,1,"前標
前標
前標
均標
均標
--
B級","在校學業
學測總級分
學測國文
學測英文
學測數學",0,"--
--
--
--
--",--,
02303,特殊教育學系,12,12,"前標
前標
均標
均標
均標
--
B級","在校學業
學測總級分
學測國文
學測英文
學測數學",8,"19%
--
--
--
--",4,"15%
58
--
--
--"
02304,英語學系,8,8,"前標
頂標
均標
均標
均標
--
B級","在校學業
學測英文
學測國文
學測社會
英文學業
國文學業
歷史學業",8,"8%
15
--
--
--
--
--",--,
02304,英語學系【外加】,0,1,"前標
頂標
均標
均標
均標
--
B級","在校學業
學測英文
學測國文
學測社會
英文學業
國文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
02305,國文學系,13,13,"前標
均標
--
均標
--
均標
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業",12,"17%
--
--
--
--
--",1,"8%
--
--
--
--
--"
02305,國文學系【外加】,0,2,"前標
均標
--
均標
--
均標
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業",0,"--
--
--
--
--
--",--,
02306,地理學系,6,6,"均標
均標
均標
均標
均標
--
--","在校學業
學測社會
學測英文
學測數學",6,"18%
--
--
--",--,
02306,地理學系【外加】,0,1,"均標
均標
均標
均標
均標
--
--","在校學業
學測社會
學測英文
學測數學",0,"--
--
--
--",--,
02307,企業管理學系,2,8,"前標
頂標
前標
--
--
--
B級","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",2,"15%
--
--
--"
02307,企業管理學系【外加】,0,2,"前標
頂標
前標
--
--
--
B級","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
02308,會計學系,13,13,"前標
前標
均標
均標
均標
--
B級","在校學業
學測英文
學測數學
學測國文
學測自然
學測社會",11,"20%
--
--
--
--
--",2,"9%
--
--
--
--
--"
02309,資訊管理學系資訊管理組,4,4,"--
均標
前標
--
--
--
--","在校學業
學測數學
學測英文
學測總級分
學測自然
學測國文",4,"9%
--
--
--
--
--",--,
02309,資訊管理學系資訊管理組【外加】,0,1,"--
均標
前標
--
--
--
--","在校學業
學測數學
學測英文
學測總級分
學測自然
學測國文",0,"--
--
--
--
--
--",--,
02310,資訊管理學系數位內容科技與管理組,3,3,"--
均標
前標
--
--
--
--","在校學業
學測數學
學測英文
學測總級分
學測自然
學測國文",3,"16%
--
--
--
--
--",--,
02310,資訊管理學系數位內容科技與管理組【外加】,0,1,"--
均標
前標
--
--
--
--","在校學業
學測數學
學測英文
學測總級分
學測自然
學測國文",0,"--
--
--
--
--
--",--,
02311,公共事務與公民教育學系公共事務組,2,2,"前標
均標
均標
前標
均標
--
B級","在校學業
學測社會
學測國文
學測英文
公社學業",2,"7%
15
--
--
--",--,
02311,公共事務與公民教育學系公共事務組【外加】,0,2,"前標
均標
均標
前標
均標
--
B級","在校學業
學測社會
學測國文
學測英文
公社學業",0,"--
--
--
--
--",--,
02312,公共事務與公民教育學系公民教育組,2,2,"前標
均標
均標
前標
均標
--
B級","在校學業
學測社會
學測國文
學測英文
公社學業",2,"6%
--
--
--
--",--,
02312,公共事務與公民教育學系公民教育組【外加】,0,1,"前標
均標
均標
前標
均標
--
B級","在校學業
學測社會
學測國文
學測英文
公社學業",0,"--
--
--
--
--",--,
02313,數學系,13,13,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",13,"18%
9
11
11
--
--",--,
02313,數學系【外加】,0,2,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--",--,
02314,物理學系物理組,6,6,"--
均標
前標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",5,"9%
--
--
--
--
--",1,"8%
14
--
--
--
--"
02314,物理學系物理組【外加】,0,1,"--
均標
前標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--",--,
02315,物理學系光電組,6,6,"--
均標
前標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",6,"12%
--
--
--
--
--",--,
02315,物理學系光電組【外加】,0,1,"--
均標
前標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--",--,
02316,化學系,10,10,"--
--
均標
--
均標
--
--","在校學業
學測自然
學測數學
學測英文
學測國文
學測社會
學測總級分",10,"3%
12
7
10
--
--
--",--,
02316,化學系【外加】,0,1,"--
--
均標
--
均標
--
--","在校學業
學測自然
學測數學
學測英文
學測國文
學測社會
學測總級分",0,"--
--
--
--
--
--
--",--,
02317,機電工程學系,7,7,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文",7,"7%
9
12
--
--",--,
02317,機電工程學系【外加】,0,1,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文",0,"--
--
--
--
--",--,
02318,電子工程學系,7,7,"均標
均標
均標
--
均標
均標
--","在校學業
學測自然
物理學業
學測數學
學測英文",7,"7%
--
--
--
--",--,
02318,電子工程學系【外加】,0,1,"均標
均標
均標
--
均標
均標
--","在校學業
學測自然
物理學業
學測數學
學測英文",0,"--
--
--
--
--",--,
02319,資訊工程學系,6,6,"前標
前標
前標
--
前標
前標
--","在校學業
學測數學
學測英文
學測自然
學測國文",1,"5%
--
--
--
--",5,"18%
--
--
--
--"
02319,資訊工程學系【外加】,0,1,"前標
前標
前標
--
前標
前標
--","在校學業
學測數學
學測英文
學測自然
學測國文",0,"--
--
--
--
--",--,
02320,電機工程學系,6,6,"均標
均標
均標
均標
均標
均標
--","在校學業
學測總級分
學測自然
學測數學
學測英文",6,"5%
58
--
--
--",--,
02320,電機工程學系【外加】,0,1,"均標
均標
均標
均標
均標
均標
--","在校學業
學測總級分
學測自然
學測數學
學測英文",0,"--
--
--
--
--",--,
02321,生物學系,6,6,"均標
均標
均標
均標
前標
--
--","在校學業
學測自然
學測英文
生物學業
學測數學
學測國文",6,"17%
--
--
--
--
--",--,
02321,生物學系【外加】,0,1,"均標
均標
均標
均標
前標
--
--","在校學業
學測自然
學測英文
生物學業
學測數學
學測國文",0,"--
--
--
--
--
--",--,
02322,美術學系,0,5,"均標
均標
--
均標
--
均標
--","在校學業
美術學業
學測國文
學測英文
學測社會",0,"--
--
--
--
--",--,
02322,美術學系【外加】,0,1,"均標
均標
--
均標
--
均標
--","在校學業
美術學業
學測國文
學測英文
學測社會",0,"--
--
--
--
--",--,
02323,運動學系,3,7,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文",3,"16%
--
--",--,
02323,運動學系【外加】,0,1,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文",0,"--
--
--",--,
