校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02001,中國文學系,17,17,"均標
--
--
均標
--
均標
--","在校學業
學測總級分
學測國文
學測社會
學測英文
國文學業
歷史學業",3,"22%
--
--
--
--
--
--",14,"37%
--
--
--
--
--
--"
02001,中國文學系【外加】,0,2,"均標
--
--
均標
--
均標
--","在校學業
學測總級分
學測國文
學測社會
學測英文
國文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
02002,歷史學系,7,15,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
學測自然
學測數學",3,"20%
--
--
--
--
--
--",4,"21%
--
--
--
--
--
--"
02003,哲學系,2,15,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
英文學業",0,"--
--
--
--
--
--
--",2,"21%
--
--
--
--
--
--"
02003,哲學系【外加】,0,6,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
國文學業
英文學業",0,"--
--
--
--
--
--
--",--,
02004,景觀設計學系,8,8,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測自然
學測社會",6,"27%
--
--
--
--
--
--",2,"30%
--
--
--
--
--
--"
02005,影像傳播學系,8,8,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學
學測自然",8,"8%
50
13
--
--
--
--",--,
02006,新聞傳播學系,8,8,"前標
--
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
學測數學
學測自然",8,"21%
--
--
--
--
--
--",--,
02007,廣告傳播學系,8,8,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測數學
學測國文
學測社會
學測自然",8,"23%
--
--
--
--
--
--",--,
02008,體育學系體育學組,1,5,"--
--
--
--
--
均標
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",1,"25%
--
--
--
--
--
--"
02009,體育學系運動健康管理組,1,10,"--
--
--
--
--
均標
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",1,"39%
--
--
--
--
--
--"
02010,圖書資訊學系,8,8,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",2,"23%
--
--
--
--
--
--",6,"22%
--
--
--
--
--
--"
02011,教育領導與科技發展學士學位學程,3,4,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測社會
學測數學
學測自然",1,"30%
--
--
--
--
--
--",2,"33%
--
--
--
--
--
--"
02012,英國語文學系,8,8,"--
前標
--
--
--
均標
B級","在校學業
學測英文
學測國文
學測總級分
學測社會
英文學業
國文學業",8,"3%
--
--
--
--
--
--",--,
02013,法國語文學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",9,"23%
--
--
--
--
--
--",--,
02013,法國語文學系【外加】,0,1,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",0,"--
--
--
--
--
--
--",--,
02014,西班牙語文學系,6,6,"均標
均標
--
--
--
均標
--","在校學業
學測英文
學測國文
學測社會
學測總級分
學測自然
英文學業",6,"9%
--
--
--
--
--
--",--,
02014,西班牙語文學系【外加】,0,2,"均標
均標
--
--
--
均標
--","在校學業
學測英文
學測國文
學測社會
學測總級分
學測自然
英文學業",0,"--
--
--
--
--
--
--",--,
02015,日本語文學系,15,15,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學
學測自然",11,"36%
--
--
--
--
--
--",4,"9%
59
--
--
--
--
--"
02016,義大利語文學系,9,9,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業
歷史學業",5,"34%
--
--
--
--
--
--",4,"10%
--
--
--
--
--
--"
02017,德語語文學系,8,8,"均標
均標
--
--
--
均標
--","在校學業
學測國文
學測英文
學測社會
學測總級分
學測數學
學測自然",8,"13%
--
--
--
--
--
--",--,
02018,織品服裝學系織品設計組,6,6,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測自然
學測社會",4,"18%
--
--
--
--
--
--",2,"11%
--
--
--
--
--
--"
02019,織品服裝學系服飾設計組,6,6,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",6,"9%
--
--
--
--
--
--",--,
02020,織品服裝學系織品服飾行銷組,14,14,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",1,"8%
--
--
--
--
--
--",13,"19%
49
--
--
--
--
--"
02021,餐旅管理學系,15,15,"--
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",15,"28%
--
--
--
--
--
--",--,
02022,兒童與家庭學系,8,8,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測國文
學測英文
學測數學
學測社會
學測自然",2,"26%
--
--
--
--
--
--",6,"24%
--
--
--
--
--
--"
02023,法律學系,15,15,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",13,"28%
--
--
--
--
--
--",2,"9%
14
--
--
--
--
--"
02023,法律學系【外加】,0,1,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",0,"--
--
--
--
--
--
--",--,
02024,財經法律學系,8,8,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",8,"27%
--
--
--
--
--
--",--,
02024,財經法律學系【外加】,0,1,"--
前標
--
均標
--
均標
--","在校學業
學測英文
學測社會
學測國文
學測數學
學測總級分
公社學業",0,"--
--
--
--
--
--
--",--,
02025,企業管理學系,24,24,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測數學
學測國文
英文學業
數學學業",12,"15%
--
--
--
--
--
--",12,"15%
55
--
--
--
--
--"
02026,會計學系,11,11,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測數學
學測社會
學測自然",11,"21%
--
--
--
--
--
--",--,
02027,資訊管理學系,15,16,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測社會
學測自然",3,"25%
--
--
--
--
--
--",12,"28%
--
--
--
--
--
--"
02028,統計資訊學系,5,16,"--
均標
均標
--
--
均標
--","在校學業
學測數學
學測英文
學測國文
學測自然
學測社會
學測總級分",1,"15%
--
--
--
--
--
--",4,"36%
--
--
--
--
--
--"
02029,金融與國際企業學系,15,15,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測社會
學測自然",15,"5%
--
--
--
--
--
--",--,
02030,社會學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測英文
學測數學
學測國文
學測社會
公社學業
國文學業",0,"--
--
--
--
--
--
--",9,"24%
--
--
--
--
--
--"
02030,社會學系【外加】,0,1,"--
--
--
--
--
均標
--","在校學業
學測英文
學測數學
學測國文
學測社會
公社學業
國文學業",0,"--
--
--
--
--
--
--",--,
02031,社會工作學系,9,9,"--
--
--
--
--
均標
--","在校學業
學測國文
學測英文
學測社會
學測總級分
國文學業
英文學業",7,"35%
--
--
--
--
--
--",2,"8%
--
--
--
--
--
--"
02032,經濟學系,18,18,"--
均標
均標
--
--
均標
--","在校學業
學測總級分
學測數學
學測英文
學測國文
數學學業
英文學業",5,"24%
--
--
--
--
--
--",13,"32%
51
--
--
--
--
--"
