校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03501,教育學系,9,9,"均標
後標
後標
--
--
--
--","在校學業
學測國文
學測數學
學測英文
學測社會
國文學業
數學學業",9,"3%
--
--
--
--
--
--",--,
03502,特殊教育學系,7,7,"均標
均標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",7,"18%
--
--
--
--
--
--",--,
03502,特殊教育學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
03503,幼兒教育學系,15,15,"均標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測社會",15,"11%
12
13
--",--,
03503,幼兒教育學系【外加】,1,2,"均標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測社會",1,"34%
--
--
--",--,
03504,心理與諮商學系,10,10,"均標
均標
均標
均標
--
--
C級","在校學業
學測國英數社
學測英文
學測國文
學測數學
學測社會
英文學業",10,"8%
45
--
--
--
--
--",--,
03504,心理與諮商學系【外加】,0,2,"均標
均標
均標
均標
--
--
C級","在校學業
學測國英數社
學測英文
學測國文
學測數學
學測社會
英文學業",0,"--
--
--
--
--
--
--",--,
03505,學習與媒材設計學系,8,8,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數學",8,"14%
--
--
--
--",--,
03506,中國語文學系,6,6,"均標
--
--
均標
--
--
--","在校學業
學測國文
國文學業
學測社會
歷史學業",6,"6%
--
--
--
--",--,
03506,中國語文學系【外加】,0,6,"均標
--
--
均標
--
--
--","在校學業
學測國文
國文學業
學測社會
歷史學業",0,"--
--
--
--
--",--,
03507,英語教學系,6,6,"前標
前標
均標
--
--
--
A級","在校學業
學測英文
學測國文
英文學業
國文學業",6,"20%
--
--
--
--",--,
03507,英語教學系【外加】,0,2,"前標
前標
均標
--
--
--
A級","在校學業
學測英文
學測國文
英文學業
國文學業",0,"--
--
--
--
--",--,
03508,社會暨公共事務學系,6,6,"均標
均標
--
均標
--
--
--","在校學業
國文學業
英文學業
學測社會",6,"3%
2%
1%
--",--,
03508,社會暨公共事務學系【外加】,2,2,"均標
均標
--
均標
--
--
--","在校學業
國文學業
英文學業
學測社會",2,"23%
--
--
--",--,
03509,歷史與地理學系,23,23,"均標
均標
--
均標
--
--
--","在校學業
學測國英社
國文學業
英文學業
學測社會",23,"31%
36
--
--
--",--,
03509,歷史與地理學系【外加】,1,3,"均標
均標
--
均標
--
--
--","在校學業
學測國英社
國文學業
英文學業
學測社會",1,"50%
--
--
--
--",--,
03510,城市發展學系,8,8,"均標
均標
--
前標
--
--
B級","在校學業
學測國文
學測英文
學測社會",8,"23%
12
--
--",--,
03510,城市發展學系【外加】,0,2,"均標
均標
--
前標
--
--
B級","在校學業
學測國文
學測英文
學測社會",0,"--
--
--
--",--,
03511,都會產業經營與行銷學系,8,8,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文",8,"10%
--
--
--",--,
03511,都會產業經營與行銷學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
03512,視覺藝術學系,8,8,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",8,"6%
--
--
--",--,
03512,視覺藝術學系【外加】,0,1,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",0,"--
--
--
--",--,
03513,地球環境暨生物資源學系,10,10,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測英文
學測數學",9,"49%
--
--
--",1,"26%
--
--
--"
