校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
00601,中國文學系,14,14,"頂標
--
--
--
--
--
--","在校學業
國文學業
英文學業
歷史學業
地理學業
學測國文
學測社會",12,"2%
--
--
--
--
--
--",2,"5%
--
--
--
--
--
--"
00602,歷史學系,8,8,"前標
前標
--
前標
--
--
--","在校學業
歷史學業
國文學業
英文學業
地理學業
學測社會
學測國文",0,"--
--
--
--
--
--
--",8,"15%
--
--
--
--
--
--"
00603,哲學系,6,8,"前標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
公社學業
英文學業",1,"4%
--
--
--
--
--
--",5,"18%
--
--
--
--
--
--"
00603,哲學系【外加】,0,1,"前標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
公社學業
英文學業",0,"--
--
--
--
--
--
--",--,
00604,教育學系,8,8,"--
前標
--
--
--
--
B級","在校學業
學測英文
學測國英數社
學測國文
學測數學
英文學業
國文學業",8,"3%
--
--
--
--
--
--",--,
00605,政治學系,7,7,"--
均標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測英社
學測數學
英文學業
公社學業",7,"1%
11
--
--
--
--
--",--,
00605,政治學系【外加】,3,3,"--
均標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測英社
學測數學
英文學業
公社學業",3,"19%
--
--
--
--
--
--",--,
00606,社會學系,7,7,"均標
前標
均標
--
--
--
--","在校學業
數學學業
英文學業
國文學業
公社學業
學測數學
學測英文",7,"2%
--
--
--
--
--
--",--,
00606,社會學系【外加】,1,1,"均標
前標
均標
--
--
--
--","在校學業
數學學業
英文學業
國文學業
公社學業
學測數學
學測英文",1,"17%
--
--
--
--
--
--",--,
00607,財政學系,14,14,"均標
均標
前標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業",14,"3%
39
--
--
--
--",--,
00608,公共行政學系,9,9,"均標
前標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測國文
英文學業
公社學業
國文學業",9,"1%
12
15
--
--
--
--",--,
00608,公共行政學系【外加】,1,1,"均標
前標
--
均標
--
--
--","在校學業
學測英文
學測社會
學測國文
英文學業
公社學業
國文學業",1,"2%
--
--
--
--
--
--",--,
00609,地政學系土地資源規劃組,7,7,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",4,"7%
--
--
--
--
--
--",3,"4%
--
--
--
--
--
--"
00609,地政學系土地資源規劃組【外加】,0,1,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",0,"--
--
--
--
--
--
--",--,
00610,地政學系土地管理組,7,7,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",7,"2%
--
--
--
--
--
--",--,
00610,地政學系土地管理組【外加】,1,1,"前標
均標
均標
--
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
學測社會
國文學業",1,"15%
--
--
--
--
--
--",--,
00611,經濟學系社會組,7,7,"--
前標
前標
前標
--
--
--","在校學業
學測國英數社
學測數學
學測英文
學測國文
數學學業
英文學業",7,"8%
--
--
--
--
--
--",--,
00611,經濟學系社會組【外加】,0,1,"--
前標
前標
前標
--
--
--","在校學業
學測國英數社
學測數學
學測英文
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
00612,民族學系,8,8,"均標
均標
--
前標
--
--
--","在校學業
公社學業
歷史學業
地理學業
學測國文
學測英文
學測數學",7,"17%
--
--
--
--
--
--",1,"1%
--
--
--
--
--
--"
00612,民族學系【外加】,2,2,"均標
均標
--
前標
--
--
--","在校學業
公社學業
歷史學業
地理學業
學測國文
學測英文
學測數學",2,"13%
--
--
--
--
--
--",--,
00613,外交學系,9,9,"前標
頂標
--
--
--
--
A級","在校學業
學測英文
學測數學
學測國文
學測社會
英文學業",8,"4%
--
--
--
--
--",1,"2%
--
--
--
--
--"
00614,國際經營與貿易學系,12,12,"前標
前標
前標
均標
--
--
--","在校學業
學測數學
學測英文
學測國英數社
學測國文
數學學業
英文學業",12,"3%
--
--
--
--
--
--",--,
00614,國際經營與貿易學系【外加】,1,1,"前標
前標
前標
均標
--
--
--","在校學業
學測數學
學測英文
學測國英數社
學測國文
數學學業
英文學業",1,"4%
--
--
--
--
--
--",--,
00615,金融學系社會組,5,4,"--
前標
前標
--
--
--
--","在校學業
學測英數
學測數學
學測英文
數學學業
英文學業",5,"1%
27＊
14
13
1%
1%",--,
00616,會計學系,15,15,"前標
前標
前標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
學測社會
數學學業",15,"3%
41
15
13
--
--
--",--,
00617,統計學系社會組,5,5,"均標
均標
均標
均標
--
--
A級","在校學業
學測數學
學測英文
學測國英數社
數學學業
歷史學業
地理學業",4,"8%
--
--
--
--
--
--",1,"1%
14
14
54
--
--
--"
00617,統計學系社會組【外加】,0,1,"均標
均標
均標
均標
--
--
A級","在校學業
學測數學
學測英文
學測國英數社
數學學業
歷史學業
地理學業",0,"--
--
--
--
--
--
--",--,
00618,企業管理學系,13,13,"前標
前標
前標
前標
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業
國文學業",12,"11%
--
--
--
--
--
--",1,"1%
14
--
--
--
--
--"
00618,企業管理學系【外加】,1,1,"前標
前標
前標
前標
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業
國文學業",0,"--
--
--
--
--
--
--",1,"14%
--
--
--
--
--
--"
00619,資訊管理學系社會組,8,8,"--
前標
前標
--
--
--
B級","在校學業
學測國英數社
學測數學
學測英文
學測國文
數學學業
英文學業",6,"10%
--
--
--
--
--
--",2,"2%
57
--
--
--
--
--"
00620,財務管理學系,7,7,"前標
前標
前標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業",7,"1%
14
14
--
--
--",--,
00620,財務管理學系【外加】,1,1,"前標
前標
前標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業",1,"10%
--
--
--
--
--",--,
00621,風險管理與保險學系,8,8,"--
前標
前標
--
--
--
--","在校學業
學測國英數社
學測英文
學測數學
學測國文
學測社會",8,"18%
--
--
--
--
--",--,
00622,傳播學院大一大二不分系社會組,31,31,"前標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測社會
學測數學
國文學業",23,"9%
--
--
--
--
--
--",8,"4%
52
--
--
--
--
--"
00622,傳播學院大一大二不分系社會組【外加】,1,1,"前標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測社會
學測數學
國文學業",1,"4%
--
--
--
--
--
--",--,
00623,英國語文學系,10,10,"前標
頂標
均標
均標
--
--
--","在校學業
學測英文
學測國文
學測社會
學測數學
學測國英數社
英文學業",7,"9%
--
--
--
--
--
--",3,"5%
--
--
--
--
--
--"
00624,阿拉伯語文學系,3,7,"前標
前標
--
前標
--
--
A級","在校學業
學測英文
英文學業
學測國文
國文學業
歷史學業
地理學業",0,"--
--
--
--
--
--
--",3,"12%
--
--
--
--
--
--"
00624,阿拉伯語文學系【外加】,0,1,"前標
前標
--
前標
--
--
A級","在校學業
學測英文
英文學業
學測國文
國文學業
歷史學業
地理學業",0,"--
--
--
--
--
--
--",--,
