校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
04301,資訊工程學系資訊應用組,4,4,"--
--
--
底標
--
--
--","在校學業
學測社會",1,"45%
--",3,"48%
--"
04302,工業管理學系(乙組),1,3,"--
底標
--
--
--
--
--","在校學業
學測國英數",1,"43%
--",--,
04302,工業管理學系(乙組)【外加】,0,2,"--
底標
--
--
--
--
--","在校學業
學測國英數",0,"--
--",--,
04303,資訊管理學系,4,4,"--
--
底標
--
--
--
--","在校學業
學測數學",4,"43%
--",--,
04303,資訊管理學系【外加】,0,3,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04304,企業管理學系企業管理組,4,4,"--
--
--
底標
--
--
--","在校學業
學測社會",4,"40%
--",--,
04304,企業管理學系企業管理組【外加】,0,1,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",--,
04305,企業管理學系智慧運輸與物流組,3,4,"--
--
底標
--
--
--
--","在校學業
學測數學",2,"39%
--",1,"27%
--"
04305,企業管理學系智慧運輸與物流組【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04306,財務管理學系金融資訊管理組,2,5,"--
--
底標
--
--
--
--","在校學業
學測數學
學測英文
學測國文",1,"44%
--
--
--",1,"50%
--
--
--"
04306,財務管理學系金融資訊管理組【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測數學
學測英文
學測國文",0,"--
--
--
--",--,
04307,財務管理學系財務金融管理組,0,5,"--
--
底標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
數學學業",0,"--
--
--
--
--",--,
04307,財務管理學系財務金融管理組【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
數學學業",0,"--
--
--
--
--",--,
04308,財務管理學系會計資訊與稅務組,2,3,"--
--
底標
--
--
--
--","在校學業
學測國文
學測英文
學測數學",1,"42%
--
--
--",1,"30%
--
--
--"
04308,財務管理學系會計資訊與稅務組【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測國文
學測英文
學測數學",0,"--
--
--
--",--,
04309,建築與都市計畫學系(第一類組),4,4,"底標
--
--
--
--
--
--","在校學業
學測國文",3,"49%
--",1,"36%
--"
04309,建築與都市計畫學系(第一類組)【外加】,0,1,"底標
--
--
--
--
--
--","在校學業
學測國文",0,"--
--",--,
04310,景觀建築學系景觀設計組,1,5,"底標
--
--
--
--
--
--","在校學業
學測國文",1,"36%
--",--,
04310,景觀建築學系景觀設計組【外加】,0,2,"底標
--
--
--
--
--
--","在校學業
學測國文",0,"--
--",--,
04311,景觀建築學系產品設計組,1,1,"底標
--
--
--
--
--
--","在校學業
學測國文",1,"29%
--",--,
04311,景觀建築學系產品設計組【外加】,0,1,"底標
--
--
--
--
--
--","在校學業
學測國文",0,"--
--",--,
04312,行政管理學系,5,10,"--
--
--
底標
--
--
--","在校學業
學測社會",3,"50%
--",2,"44%
--"
04312,行政管理學系【外加】,0,2,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",--,
04313,應用日語學系(商務組),3,7,"--
--
--
底標
--
--
--","在校學業
學測社會",2,"43%
--",1,"47%
--"
04313,應用日語學系(商務組)【外加】,0,1,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",--,
04314,應用日語學系(語文組),2,5,"--
--
--
底標
--
--
--","在校學業
學測社會",2,"50%
--",--,
04314,應用日語學系(語文組)【外加】,0,1,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",--,
04315,應用日語學系(觀光組),1,3,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",1,"40%
--"
04315,應用日語學系(觀光組)【外加】,0,1,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",--,
04316,餐旅管理學系,2,8,"--
--
--
底標
--
--
--","在校學業
學測社會",2,"46%
--",--,
04316,餐旅管理學系【外加】,1,2,"--
--
--
底標
--
--
--","在校學業
學測社會",1,"47%
--",--,
04317,觀光與會展活動學系會展與活動管理組,2,3,"--
--
--
底標
--
--
--","在校學業
學測社會",1,"20%
--",1,"49%
--"
04317,觀光與會展活動學系會展與活動管理組【外加】,0,1,"--
--
--
底標
--
--
--","在校學業
學測社會",0,"--
--",--,
04318,觀光與會展活動學系旅遊與休閒管理組,1,3,"--
--
--
底標
--
--
--","在校學業
學測社會
學測國文",1,"40%
--
--",--,
04318,觀光與會展活動學系旅遊與休閒管理組【外加】,0,1,"--
--
--
底標
--
--
--","在校學業
學測社會
學測國文",0,"--
--
--",--,
04319,電機工程學系,12,12,"--
--
底標
--
--
--
--","在校學業
學測數學",8,"49%
--",4,"43%
--"
04319,電機工程學系【外加】,0,3,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04320,資訊工程學系資訊工程組,5,6,"--
--
底標
--
--
--
--","在校學業
學測數學",2,"46%
--",3,"49%
--"
04321,資訊工程學系智慧軟體設計組,2,4,"--
--
底標
--
--
--
--","在校學業
學測數學",2,"37%
--",--,
04322,資訊工程學系人工智慧組,1,4,"--
--
底標
--
--
--
--","在校學業
學測數學",1,"44%
--",--,
04323,機械工程學系智慧自動化組,1,3,"--
--
底標
--
--
--
--","在校學業
學測數學",1,"48%
--",--,
04324,機械工程學系智慧機械組,0,3,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04325,機械工程學系航空技術組,3,3,"--
--
底標
--
--
--
--","在校學業
學測數學",3,"49%
--",--,
04326,光電與材料工程學系(綠能光電組),0,2,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04326,光電與材料工程學系(綠能光電組)【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04327,光電與材料工程學系(材料應用組),0,2,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04327,光電與材料工程學系(材料應用組)【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04328,工業管理學系(甲組),0,3,"--
--
底標
--
--
--
--","在校學業
學測國英數",0,"--
--",--,
04328,工業管理學系(甲組)【外加】,0,2,"--
--
底標
--
--
--
--","在校學業
學測國英數",0,"--
--",--,
04329,建築與都市計畫學系(第二類組),1,4,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",1,"39%
--"
04329,建築與都市計畫學系(第二類組)【外加】,0,1,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04330,土木工程學系,4,6,"--
--
底標
--
--
--
--","在校學業
學測數學",1,"29%
--",3,"48%
--"
04330,土木工程學系【外加】,0,2,"--
--
底標
--
--
--
--","在校學業
學測數學",0,"--
--",--,
04331,光電與材料工程學系(生醫光電組),1,2,"--
--
--
--
底標
--
--","在校學業
學測自然",0,"--
--",1,"48%
--"
04331,光電與材料工程學系(生醫光電組)【外加】,0,1,"--
--
--
--
底標
--
--","在校學業
學測自然",0,"--
--",--,
