校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01601,中國文學系,8,8,"頂標
前標
--
前標
--
--
--","在校學業
學測國文
國文學業
學測國英社
學測英文
學測社會
英文學業",2,"5%
--
--
--
--
--
--",6,"10%
13
3%
--
--
--
--"
01601,中國文學系【外加】,0,2,"頂標
前標
--
前標
--
--
--","在校學業
學測國文
國文學業
學測國英社
學測英文
學測社會
英文學業",0,"--
--
--
--
--
--
--",--,
01602,英美語文學系,15,15,"前標
頂標
--
--
--
--
--","在校學業
英文學業
學測英文
學測國英
國文學業
學測國文
歷史學業",15,"18%
--
--
--
--
--
--",--,
01602,英美語文學系【外加】,1,1,"前標
頂標
--
--
--
--
--","在校學業
英文學業
學測英文
學測國英
國文學業
學測國文
歷史學業",1,"20%
--
--
--
--
--
--",--,
01603,法國語文學系,9,9,"前標
頂標
--
前標
--
--
--","在校學業
學測英文
學測國文
學測社會
學測國英社
英文學業
國文學業",2,"13%
--
--
--
--
--
--",7,"5%
--
--
--
--
--
--"
01603,法國語文學系【外加】,0,1,"前標
頂標
--
前標
--
--
--","在校學業
學測英文
學測國文
學測社會
學測國英社
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
01604,文學院學士班,5,5,"前標
前標
後標
均標
--
--
--","在校學業
學測國英數社
學測社會
學測國文
學測英文
英文學業
國文學業",2,"12%
--
--
--
--
--
--",3,"5%
--
--
--
--
--
--"
01604,文學院學士班【外加】,0,1,"前標
前標
後標
均標
--
--
--","在校學業
學測國英數社
學測社會
學測國文
學測英文
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
01605,企業管理學系,17,17,"前標
前標
前標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測國英數社
英文學業
數學學業",7,"15%
--
--
--
--
--
--",10,"9%
--
--
--
--
--
--"
01605,企業管理學系【外加】,0,1,"前標
前標
前標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測國英數社
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
