校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02201,事業經營學系,5,5,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業
國文學業",5,"10%
--
--
--
--
--
--",--,
02201,事業經營學系【外加】,1,1,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業
國文學業",1,"39%
--
--
--
--
--
--",--,
02202,地理學系,5,5,"均標
均標
均標
均標
--
--
--","在校學業
地理學業
英文學業
國文學業
歷史學業
地科學業
生物學業",5,"33%
--
--
--
--
--
--",--,
02202,地理學系【外加】,1,1,"均標
均標
均標
均標
--
--
--","在校學業
地理學業
英文學業
國文學業
歷史學業
地科學業
生物學業",1,"11%
--
--
--
--
--
--",--,
02203,特殊教育學系,8,8,"均標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
國文學業
英文學業",8,"15%
47
--
--
--
--
--",--,
02203,特殊教育學系【外加】,0,2,"均標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學
國文學業
英文學業",0,"--
--
--
--
--
--
--",--,
02204,英語學系,16,16,"前標
頂標
--
--
--
--
B級","在校學業
英文學業
國文學業
學測英文
學測國文
學測國英社
學測社會",16,"17%
4%
--
--
--
--
--",--,
02204,英語學系【外加】,0,2,"前標
頂標
--
--
--
--
B級","在校學業
英文學業
國文學業
學測英文
學測國文
學測國英社
學測社會",0,"--
--
--
--
--
--
--",--,
02205,教育學系,7,7,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",7,"6%
12
--
--
--
--
--",--,
02205,教育學系【外加】,0,3,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
02206,國文學系,18,18,"前標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業
歷史學業",18,"17%
12
15
--
--
--
--",--,
02206,國文學系【外加】,1,2,"前標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業
歷史學業",1,"39%
--
--
--
--
--
--",--,
02207,數學系數學組,7,7,"均標
均標
前標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
數學學業
英文學業",7,"30%
--
--
--
--
--
--",--,
02207,數學系數學組【外加】,0,2,"均標
均標
前標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
02208,數學系應用數學組,7,7,"均標
均標
前標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
數學學業
英文學業",7,"17%
--
--
--
--
--
--",--,
02208,數學系應用數學組【外加】,0,2,"均標
均標
前標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
02209,化學系,8,8,"--
均標
均標
--
均標
--
--","在校學業
化學學業
學測自然
英文學業
學測英文
數學學業
學測數學",8,"6%
5%
--
--
--
--
--",--,
02210,物理學系,9,9,"--
均標
前標
--
均標
--
--","在校學業
學測數學
學測自然
物理學業
數學學業
學測英文
學測國文",9,"11%
--
--
--
--
--
--",--,
02210,物理學系【外加】,0,1,"--
均標
前標
--
均標
--
--","在校學業
學測數學
學測自然
物理學業
數學學業
學測英文
學測國文",0,"--
--
--
--
--
--
--",--,
02211,工業設計學系,7,7,"均標
均標
均標
--
--
--
--","在校學業
學測英文
英文學業
學測數學
數學學業
學測國文
國文學業",7,"12%
11
--
--
--
--
--",--,
02211,工業設計學系【外加】,0,2,"均標
均標
均標
--
--
--
--","在校學業
學測英文
英文學業
學測數學
數學學業
學測國文
國文學業",0,"--
--
--
--
--
--
--",--,
02212,電機工程學系,10,10,"--
均標
均標
--
均標
--
--","在校學業
學測數學
數學學業
學測自然
物理學業
學測英文
學測英數自",10,"5%
9
--
--
--
--
--",--,
02212,電機工程學系【外加】,1,2,"--
均標
均標
--
均標
--
--","在校學業
學測數學
數學學業
學測自然
物理學業
學測英文
學測英數自",1,"20%
--
--
--
--
--
--",--,
02213,電子工程學系,8,8,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英數自
數學學業
物理學業
英文學業",8,"6%
6
12
--
--
--
--",--,
02213,電子工程學系【外加】,0,1,"均標
均標
均標
--
均標
--
--","在校學業
學測數學
學測自然
學測英數自
數學學業
物理學業
英文學業",0,"--
--
--
--
--
--
--",--,
02214,軟體工程與管理學系,5,5,"均標
均標
前標
--
均標
--
--","在校學業
學測數學
數學學業
學測自然
物理學業
學測英文
英文學業",5,"10%
--
--
--
--
--
--",--,
02214,軟體工程與管理學系【外加】,0,1,"均標
均標
前標
--
均標
--
--","在校學業
學測數學
數學學業
學測自然
物理學業
學測英文
英文學業",0,"--
--
--
--
--
--
--",--,
02215,工業科技教育學系科技教育與訓練組,4,4,"均標
--
均標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
學測英數
英文學業",4,"24%
--
--
--
--
--
--",--,
02215,工業科技教育學系科技教育與訓練組【外加】,0,1,"均標
--
均標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
學測英數
英文學業",0,"--
--
--
--
--
--
--",--,
02216,工業科技教育學系能源與冷凍空調組,4,4,"均標
--
均標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
學測英數
英文學業",4,"34%
--
--
--
--
--
--",--,
02217,生物科技系,10,10,"均標
均標
均標
--
均標
--
--","在校學業
生物學業
學測自然
英文學業
學測英文
數學學業
學測數學",10,"24%
--
--
--
--
--
--",--,
02217,生物科技系【外加】,0,2,"均標
均標
均標
--
均標
--
--","在校學業
生物學業
學測自然
英文學業
學測英文
數學學業
學測數學",0,"--
--
--
--
--
--
--",--,
02218,美術學系,3,7,"均標
均標
--
--
--
--
--","在校學業
美術學業
國文學業
數學學業
英文學業
學測國文
學測英文",3,"18%
--
--
--
--
--
--",--,
