校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
00501,中國文學系,20,20,"均標
--
--
後標
--
--
--","在校學業
學測國文
國文學業
英文學業
學測社會",15,"49%
--
--
--
--",5,"26%
--
--
--
--"
00501,中國文學系【外加】,1,1,"均標
--
--
後標
--
--
--","在校學業
學測國文
國文學業
英文學業
學測社會",1,"43%
--
--
--
--",--,
00502,歷史學系,20,20,"後標
後標
--
均標
--
--
--","在校學業
學測社會
學測國文
學測英文
歷史學業
國文學業",7,"40%
--
--
--
--
--",13,"41%
--
--
--
--
--"
00503,哲學系,4,10,"後標
後標
後標
--
--
--
--","在校學業
國文學業
學測國文
英文學業
學測英文
數學學業
學測數學",1,"11%
--
--
--
--
--
--",3,"45%
--
--
--
--
--
--"
00503,哲學系【外加】,0,1,"後標
後標
後標
--
--
--
--","在校學業
國文學業
學測國文
英文學業
學測英文
數學學業
學測數學",0,"--
--
--
--
--
--
--",--,
00504,政治學系,20,20,"均標
後標
--
後標
--
--
--","在校學業
學測國文
學測英文
學測社會
英文學業",19,"40%
--
--
--
--",1,"8%
12
11
--
--"
00504,政治學系【外加】,0,1,"均標
後標
--
後標
--
--
--","在校學業
學測國文
學測英文
學測社會
英文學業",0,"--
--
--
--
--",--,
00505,社會學系,15,15,"均標
均標
--
均標
--
--
--","在校學業
學測社會
公社學業
學測英文
學測國文
歷史學業
地理學業",5,"43%
--
--
--
--
--
--",10,"39%
--
--
--
--
--
--"
00505,社會學系【外加】,0,3,"均標
均標
--
均標
--
--
--","在校學業
學測社會
公社學業
學測英文
學測國文
歷史學業
地理學業",0,"--
--
--
--
--
--
--",--,
00506,社會工作學系,20,20,"均標
--
--
--
--
--
--","在校學業
學測社會
公社學業
地理學業
歷史學業
數學學業",16,"50%
--
--
--
--
--",4,"10%
11
4%
--
--
--"
00507,英文學系,44,50,"均標
前標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
國文學業",13,"47%
--
--
--
--",31,"45%
--
--
--
--"
00507,英文學系【外加】,1,2,"均標
前標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
國文學業",1,"20%
--
--
--
--",--,
00508,日本語文學系,30,30,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
國文學業",30,"46%
--
--
--
--",--,
00509,德國文化學系,24,24,"均標
均標
--
--
--
--
--","在校學業
英文學業
學測英文
學測國英
國文學業
學測國文",13,"38%
--
--
--
--
--",11,"27%
7%
--
--
--
--"
00510,法律學系,40,40,"均標
前標
--
--
--
--
--","在校學業
學測國文
學測英文
學測數學",40,"8%
13
14
--",--,
00510,法律學系【外加】,1,2,"均標
前標
--
--
--
--
--","在校學業
學測國文
學測英文
學測數學",1,"28%
--
--
--",--,
00511,經濟學系,25,25,"--
後標
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業",22,"45%
--
--
--
--
--",3,"6%
9
12
--
--
--"
00511,經濟學系【外加】,0,1,"--
後標
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--",--,
00512,會計學系,20,20,"均標
前標
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業
國文學業",20,"13%
12
--
--
--
--
--",--,
00513,企業管理學系,60,60,"--
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
英文學業
數學學業",31,"37%
--
--
--
--",29,"32%
--
--
--
--"
00514,國際經營與貿易學系,15,15,"均標
均標
均標
--
--
--
--","在校學業
學測英文
英文學業
學測國文
國文學業
學測數學
數學學業",15,"11%
--
--
--
--
--
--",--,
00514,國際經營與貿易學系【外加】,0,3,"均標
均標
均標
--
--
--
--","在校學業
學測英文
英文學業
學測國文
國文學業
學測數學
數學學業",0,"--
--
--
--
--
--
--",--,
00515,財務工程與精算數學系,9,9,"--
後標
前標
--
--
--
--","在校學業
學測數學
學測英文
數學學業",5,"24%
--
--
--",4,"14%
--
--
--"
00516,資訊管理學系,18,22,"--
均標
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業",5,"36%
--
--
--
--",13,"38%
--
--
--
--"
00516,資訊管理學系【外加】,0,2,"--
均標
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業",0,"--
--
--
--
--",--,
00517,巨量資料管理學院學士學位學程,4,10,"--
均標
均標
--
--
--
--","在校學業
學測數學
學測英文
數學學業
英文學業
國文學業",2,"22%
--
--
--
--
--",2,"15%
--
--
--
--
--"
00517,"巨量資料管理學院學士學位學程【外加
】",0,2,"--
均標
均標
--
--
--
--","在校學業
學測數學
學測英文
數學學業
英文學業
國文學業",0,"--
--
--
--
--
--",--,
