校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
04001,管理學院學士班(主修：企業管理),15,15,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",5,"45%
--
--
--
--",10,"21%
--
--
--
--"
04001,"管理學院學士班(主修：企業管理)【外加
】",0,5,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",0,"--
--
--
--
--",--,
04002,管理學院學士班(主修：財務金融),15,15,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",15,"41%
--
--
--
--",--,
04002,"管理學院學士班(主修：財務金融)【外加
】",0,5,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",0,"--
--
--
--
--",--,
04003,管理學院學士班(主修：國際企業),15,15,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",4,"21%
--
--
--
--",11,"19%
--
--
--
--"
04003,"管理學院學士班(主修：國際企業)【外加
】",0,5,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",0,"--
--
--
--
--",--,
04004,管理學院學士班(主修：會計),9,9,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",9,"35%
--
--
--
--",--,
04004,管理學院學士班(主修：會計)【外加】,0,5,"均標
--
--
--
--
--
--","在校學業
學測英文
學測數學
學測國文
學測英數",0,"--
--
--
--
--",--,
04005,管理學院學士班(英語專班),7,7,"--
均標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國文
學測數學
數學學業
學測社會",7,"44%
--
--
--
--
--
--",--,
04006,應用外語學系,4,6,"均標
前標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國文",1,"38%
--
--
--",3,"43%
--
--
--"
04006,應用外語學系【外加】,0,1,"均標
前標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國文",0,"--
--
--
--",--,
04007,中國語文學系,8,8,"均標
--
--
均標
--
--
--","在校學業
學測國文
學測社會
學測英文
國文學業
英文學業
歷史學業",3,"36%
--
--
--
--
--
--",5,"36%
--
--
--
--
--
--"
04007,中國語文學系【外加】,0,2,"均標
--
--
均標
--
--
--","在校學業
學測國文
學測社會
學測英文
國文學業
英文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
04008,社會暨政策科學學系,8,8,"--
均標
--
均標
--
--
--","在校學業
學測英文
國文學業
公社學業
學測社會
學測數學
歷史學業",1,"29%
--
--
--
--
--
--",7,"27%
--
--
--
--
--
--"
04008,社會暨政策科學學系【外加】,1,2,"--
均標
--
均標
--
--
--","在校學業
學測英文
國文學業
公社學業
學測社會
學測數學
歷史學業",1,"43%
--
--
--
--
--
--",--,
04009,藝術與設計學系,5,7,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文",2,"43%
--
--",3,"35%
--
--"
04010,人文社會學院英語學士班,1,5,"均標
前標
--
--
--
--
--","在校學業
學測英文
學測國文",0,"--
--
--",1,"46%
--
--"
04011,資訊管理學系,19,19,"--
後標
後標
--
--
--
--","在校學業
學測英文
學測數學
學測國文",17,"48%
--
--
--",2,"16%
12
9
--"
04011,資訊管理學系【外加】,0,2,"--
後標
後標
--
--
--
--","在校學業
學測英文
學測數學
學測國文",0,"--
--
--
--",--,
04012,資訊傳播學系科技組,8,8,"--
--
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業
國文學業",2,"47%
--
--
--
--
--
--",6,"23%
--
--
--
--
--
--"
04012,資訊傳播學系科技組【外加】,0,2,"--
--
均標
--
--
--
--","在校學業
學測數學
學測英文
學測國文
數學學業
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
04013,資訊傳播學系設計組,9,9,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",4,"38%
--
--
--
--
--
--",5,"22%
--
--
--
--
--
--"
04013,資訊傳播學系設計組【外加】,0,2,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
04014,資訊工程學系,20,20,"--
--
均標
--
--
--
--","在校學業
學測國英數自
學測數學
學測英文
學測國文
數學學業
英文學業",20,"12%
49
12
14
--
--
--",--,
04014,資訊工程學系【外加】,1,3,"--
--
均標
--
--
--
--","在校學業
學測國英數自
學測數學
學測英文
學測國文
數學學業
英文學業",1,"38%
--
--
--
--
--
--",--,
04015,資訊學院英語學士班,2,4,"--
均標
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業
英文學業",2,"13%
--
--
--
--
--
--",--,
04015,資訊學院英語學士班【外加】,0,1,"--
均標
均標
--
--
--
--","在校學業
學測國英數
學測數學
學測英文
學測國文
數學學業
英文學業",0,"--
--
--
--
--
--
--",--,
04016,機械工程學系,17,17,"--
--
均標
--
--
--
--","在校學業
學測數學
學測英文
學測自然",16,"45%
--
--
--",1,"14%
--
--
--"
04016,機械工程學系【外加】,0,6,"--
--
均標
--
--
--
--","在校學業
學測數學
學測英文
學測自然",0,"--
--
--
--",--,
04017,化學工程與材料科學學系,17,17,"--
均標
後標
--
均標
--
--","在校學業
學測自然
物理學業
化學學業
英文學業
數學學業
生物學業",17,"36%
--
--
--
--
--
--",--,
04017,化學工程與材料科學學系【外加】,0,3,"--
均標
後標
--
均標
--
--","在校學業
學測自然
物理學業
化學學業
英文學業
數學學業
生物學業",0,"--
--
--
--
--
--
--",--,
04018,工業工程與管理學系,18,18,"--
--
均標
--
--
--
--","在校學業
學測英文
學測數學",9,"45%
--
--",9,"19%
--
--"
04018,工業工程與管理學系【外加】,0,3,"--
--
均標
--
--
--
--","在校學業
學測英文
學測數學",0,"--
--
--",--,
04019,工程學院英語學士班,4,5,"--
均標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
學測自然",1,"36%
--
--
--
--",3,"33%
--
--
--
--"
04019,工程學院英語學士班【外加】,0,2,"--
均標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
學測自然",0,"--
--
--
--
--",--,
04020,電機工程學系(甲組),16,16,"--
--
均標
--
--
--
--","在校學業
學測英數自
學測數學
數學學業
學測自然
物理學業
學測英文",16,"13%
38
--
--
--
--
--",--,
04020,電機工程學系(甲組)【外加】,0,3,"--
--
均標
--
--
--
--","在校學業
學測英數自
學測數學
數學學業
學測自然
物理學業
學測英文",0,"--
--
--
--
--
--
--",--,
