校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02201,事業經營學系,7,7,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業",7,"6%
12
--
--
--
--",--,
02201,事業經營學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業",0,"--
--
--
--
--
--",--,
02202,地理學系,5,5,"均標
均標
均標
均標
--
--
--","在校學業
地理學業
英文學業
國文學業
歷史學業
地科學業
生物學業",5,"11%
--
--
--
--
--
--",--,
02202,地理學系【外加】,1,1,"均標
均標
均標
均標
--
--
--","在校學業
地理學業
英文學業
國文學業
歷史學業
地科學業
生物學業",1,"21%
--
--
--
--
--
--",--,
02203,特殊教育學系,10,10,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測數學",10,"13%
--
--
--",--,
02203,特殊教育學系【外加】,0,2,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測數學",0,"--
--
--
--",--,
02204,英語學系,12,12,"前標
頂標
--
--
--
--
B級","在校學業
英文學業
學測英文
學測國文",9,"23%
--
--
--",3,"26%
--
--
--"
02204,英語學系【外加】,0,2,"前標
頂標
--
--
--
--
B級","在校學業
英文學業
學測英文
學測國文",0,"--
--
--
--",--,
02205,教育學系,9,9,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測數學",9,"9%
--
--
--",--,
02205,教育學系【外加】,0,3,"均標
均標
均標
均標
--
--
--","在校學業
學測國文
學測英文
學測數學",0,"--
--
--
--",--,
02206,國文學系,19,19,"前標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業
歷史學業",19,"18%
14
--
--
--
--
--",--,
02206,國文學系【外加】,0,2,"前標
均標
--
均標
--
--
--","在校學業
學測國文
學測英文
學測社會
國文學業
英文學業
歷史學業",0,"--
--
--
--
--
--
--",--,
