校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01701,哲學系,1,6,"後標
--
--
--
--
--
--","在校學業
學測國英社
歷史學業
學測社會
國語文學業
學測國文
學測英文",0,"--
--
--
--
--
--
--",1,"42%
--
--
--
--
--
--"
01701,哲學系【外加】,0,2,"後標
--
--
--
--
--
--","在校學業
學測國英社
歷史學業
學測社會
國語文學業
學測國文
學測英文",0,"--
--
--
--
--
--
--",--,
01702,中國文學系中國文學組,4,15,"後標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測英文
英語文學業",2,"43%
--
--
--
--
--
--",2,"45%
--
--
--
--
--
--"
01703,中國文學系文藝創作組,3,6,"後標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測英文
英語文學業",1,"24%
--
--
--
--
--
--",2,"47%
--
--
--
--
--
--"
01703,中國文學系文藝創作組【外加】,0,1,"後標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測英文
英語文學業",0,"--
--
--
--
--
--
--",--,
01704,史學系,6,13,"底標
--
--
--
底標
--
--","在校學業
歷史學業
學測國文
學測社會
學測國社
學測英文
國語文學業",3,"41%
--
--
--
--
--
--",3,"48%
--
--
--
--
--
--"
01704,史學系【外加】,0,2,"底標
--
--
--
底標
--
--","在校學業
歷史學業
學測國文
學測社會
學測國社
學測英文
國語文學業",0,"--
--
--
--
--
--
--",--,
01705,日本語文學系,10,10,"--
後標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測國英
國語文學業
英語文學業",10,"41%
10
--
--
--
--
--",--,
01705,日本語文學系【外加】,0,3,"--
後標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測國英
國語文學業
英語文學業",0,"--
--
--
--
--
--
--",--,
01706,韓國語文學系,12,12,"--
後標
--
--
--
--
--","在校學業
學測國英社
學測國文
學測英文
國語文學業
英語文學業
學測社會",12,"47%
32
--
--
--
--
--",--,
01707,俄國語文學系,0,3,"--
底標
--
--
--
--
--","在校學業
學測國英社
英語文學業
國語文學業
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--
--",--,
01707,俄國語文學系【外加】,0,1,"--
底標
--
--
--
--
--","在校學業
學測國英社
英語文學業
國語文學業
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--
--",--,
01708,英國語文學系,10,20,"--
底標
--
--
--
--
--","在校學業
學測英文
英語文學業
學測國文
國語文學業
學測社會
歷史學業",6,"48%
--
--
--
--
--
--",4,"47%
--
--
--
--
--
--"
01708,英國語文學系【外加】,0,3,"--
底標
--
--
--
--
--","在校學業
學測英文
英語文學業
學測國文
國語文學業
學測社會
歷史學業",0,"--
--
--
--
--
--
--",--,
01709,法國語文學系,4,6,"--
底標
--
--
--
--
--","在校學業
英語文學業
國語文學業
歷史學業
地理學業
學測社會
學測英文",1,"29%
--
--
--
--
--
--",3,"42%
--
--
--
--
--
--"
01709,法國語文學系【外加】,0,1,"--
底標
--
--
--
--
--","在校學業
英語文學業
國語文學業
歷史學業
地理學業
學測社會
學測英文",0,"--
--
--
--
--
--
--",--,
01710,全球商務學士學位學程,1,4,"--
後標
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會
學測國英社
英語文學業
國語文學業",0,"--
--
--
--
--
--
--",1,"48%
--
--
--
--
--
--"
