校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03101,教育學系,8,8,"均標
均標
均標
--
--
--
--","在校學業
學測數學
學測國文
學測英文
數學學業
國文學業
英文學業",8,"8%
10
12
--
--
--
--",--,
03102,語文教育學系,23,23,"前標
均標
--
均標
--
均標
--","在校學業
學測國文
學測總級分
學測社會
學測英文
國文學業
英文學業",23,"23%
13
56
--
--
--
--",--,
03102,語文教育學系【外加】,0,1,"前標
均標
--
均標
--
均標
--","在校學業
學測國文
學測總級分
學測社會
學測英文
國文學業
英文學業",0,"--
--
--
--
--
--
--",--,
03103,區域與社會發展學系,6,6,"均標
均標
--
前標
--
--
--","在校學業
學測社會
學測總級分
學測國文",6,"9%
--
--
--",--,
03103,區域與社會發展學系【外加】,0,1,"均標
均標
--
前標
--
--
--","在校學業
學測社會
學測總級分
學測國文",0,"--
--
--
--",--,
03104,特殊教育學系,5,5,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學
國文學業
英文學業",5,"8%
53
--
--
--
--
--",--,
03104,特殊教育學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測總級分
學測國文
學測英文
學測數學
國文學業
英文學業",0,"--
--
--
--
--
--
--",--,
03105,臺灣語文學系,5,5,"均標
均標
--
均標
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
英文學業
國文學業",5,"25%
--
--
--
--
--
--",--,
03106,英語學系,6,6,"均標
前標
--
--
--
--
A級","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業
公社學業",6,"12%
--
--
--
--
--
--",--,
03107,國際企業學系,7,7,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業",7,"5%
54
13
--
--
--",--,
03107,國際企業學系【外加】,0,1,"均標
均標
--
--
--
均標
--","在校學業
學測總級分
學測英文
學測國文
英文學業
國文學業",0,"--
--
--
--
--
--",--,
03108,文化創意產業設計與營運學系,2,2,"均標
前標
--
前標
--
前標
B級","在校學業
學測總級分
學測社會
學測英文",2,"8%
--
--
--",--,
03108,文化創意產業設計與營運學系【外加】,0,1,"均標
前標
--
前標
--
前標
B級","在校學業
學測總級分
學測社會
學測英文",0,"--
--
--
--",--,
03109,諮商與應用心理學系,3,3,"前標
前標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",3,"11%
--
--
--
--
--
--",--,
03109,諮商與應用心理學系【外加】,0,1,"前標
前標
均標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
國文學業
英文學業
數學學業",0,"--
--
--
--
--
--
--",--,
03110,幼兒教育學系,4,4,"均標
--
--
均標
--
--
--","在校學業
學測總級分
學測國文
學測社會",4,"10%
--
--
--",--,
03110,幼兒教育學系【外加】,0,2,"均標
--
--
均標
--
--
--","在校學業
學測總級分
學測國文
學測社會",0,"--
--
--
--",--,
03111,數學教育學系,12,12,"--
--
均標
--
--
--
--","在校學業
數學學業
國文學業
物理學業
學測數學
學測國文
學測自然",12,"13%
4%
--
--
--
--
--",--,
03111,數學教育學系【外加】,0,2,"--
--
均標
--
--
--
--","在校學業
數學學業
國文學業
物理學業
學測數學
學測國文
學測自然",0,"--
--
--
--
--
--
--",--,
03112,科學教育與應用學系,7,7,"--
--
均標
--
均標
--
--","在校學業
學測總級分
學測自然
學測數學
學測國文",7,"13%
--
--
--
--",--,
03112,科學教育與應用學系【外加】,0,1,"--
--
均標
--
均標
--
--","在校學業
學測總級分
學測自然
學測數學
學測國文",0,"--
--
--
--
--",--,
03113,資訊工程學系,8,8,"--
均標
均標
--
均標
--
--","在校學業
學測數學
學測英文
學測自然
數學學業
英文學業",8,"11%
--
--
--
--
--",--,
03114,數位內容科技學系,9,9,"均標
均標
均標
--
均標
--
--","在校學業
學測總級分
學測英文
學測數學",9,"17%
--
--
--",--,
03114,數位內容科技學系【外加】,0,1,"均標
均標
均標
--
均標
--
--","在校學業
學測總級分
學測英文
學測數學",0,"--
--
--
--",--,
03115,體育學系,8,8,"後標
後標
後標
--
後標
--
--","在校學業
學測國文
學測數學
學測英文
學測自然",8,"21%
--
--
--
--",--,
03115,體育學系【外加】,0,2,"後標
後標
後標
--
後標
--
--","在校學業
學測國文
學測數學
學測英文
學測自然",0,"--
--
--
--
--",--,
03116,音樂學系《鋼琴》,3,3,"後標
後標
--
--
--
--
--","在校學業
術科主修",3,"5%
--",--,
03116,音樂學系《聲樂》,0,2,"後標
後標
--
--
--
--
--","在校學業
術科主修",0,"--
--",--,
03116,音樂學系《聲樂》【外加】,0,1,"後標
後標
--
--
--
--
--","在校學業
術科主修",0,"--
--",--,
03116,音樂學系《大提琴》,1,1,"後標
後標
--
--
--
--
--","在校學業
術科主修",1,"23%
--",--,
03116,音樂學系《擊樂》,1,1,"後標
後標
--
--
--
--
--","在校學業
術科主修",1,"11%
--",--,
03117,美術學系,12,12,"均標
--
--
--
--
--
--","在校學業
術科素描",12,"22%
--",--,
03117,美術學系【外加】,0,1,"均標
--
--
--
--
--
--","在校學業
術科素描",0,"--
--",--,
