校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01501,會計學系,35,35,"--
後標
--
--
--
--
--","在校學業
學測數B
學測國文
學測英文
學測社會
學測國英數B社
英語文學業",18,"43%
--
--
--
--
--
--",17,"26%
11
--
--
--
--
--"
01501,會計學系【外加】,1,1,"--
後標
--
--
--
--
--","在校學業
學測數B
學測國文
學測英文
學測社會
學測國英數B社
英語文學業",1,"43%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01502,國際經營與貿易學系,30,30,"--
均標
--
後標
後標
--
--","在校學業
學測國英數B社
學測英文
學測國文
學測數B
英語文學業
國語文學業",9,"34%
--
--
--
--
--
--",21,"28%
42
--
--
--
--
--"
01502,國際經營與貿易學系【外加】,0,1,"--
均標
--
後標
後標
--
--","在校學業
學測國英數B社
學測英文
學測國文
學測數B
英語文學業
國語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01503,國際企業管理全英語學士學位學程,2,2,"--
後標
--
--
--
--
B級","在校學業
英語文學業
學測英文
學測國英數B
學測數B
學測國文
學測社會",2,"9%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01503,國際企業管理全英語學士學位學程【外加】,0,1,"--
後標
--
--
--
--
B級","在校學業
英語文學業
學測英文
學測國英數B
學測數B
學測國文
學測社會",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01504,財稅學系,20,20,"--
後標
--
--
後標
--
--","在校學業
學測國英數B
學測英文
學測數B
學測國文
學測社會
英語文學業",10,"36%
--
--
--
--
--
--",10,"22%
--
--
--
--
--
--"
01504,財稅學系【外加】,0,1,"--
後標
--
--
後標
--
--","在校學業
學測國英數B
學測英文
學測數B
學測國文
學測社會
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01505,合作經濟暨社會事業經營學系,17,17,"--
後標
--
--
後標
--
--","在校學業
學測國英數B社
學測英文
學測國文
學測社會
英語文學業
國語文學業",2,"26%
--
--
--
--
--
--",15,"35%
--
--
--
--
--
--"
01505,合作經濟暨社會事業經營學系【外加】,0,1,"--
後標
--
--
後標
--
--","在校學業
學測國英數B社
學測英文
學測國文
學測社會
英語文學業
國語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01506,統計學系商業大數據組,9,9,"--
後標
--
均標
後標
--
--","在校學業
學測國英數B社
學測數B
學測英文
學測國文
數學學業
學測社會",2,"27%
--
--
--
--
--
--",7,"45%
37
--
--
--
--
--"
01506,統計學系商業大數據組【外加】,0,1,"--
後標
--
均標
後標
--
--","在校學業
學測國英數B社
學測數B
學測英文
學測國文
數學學業
學測社會",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01507,統計學系大數據分析與市場決策組,8,8,"--
後標
--
均標
--
--
--","在校學業
學測國英數B
學測數B
學測英文
學測國文
數學學業
學測社會",0,"--
--
--
--
--
--
--",8,"34%
--
--
--
--
--
--"
01507,統計學系大數據分析與市場決策組【外加】,0,1,"--
後標
--
均標
--
--
--","在校學業
學測國英數B
學測數B
學測英文
學測國文
數學學業
學測社會",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01508,經濟學系,18,18,"--
後標
--
後標
--
--
--","在校學業
學測數B
學測英文
學測國文
學測社會
數學學業
英語文學業",5,"35%
--
--
--
--
--
--",13,"28%
--
--
--
--
--
--"
01508,經濟學系【外加】,0,1,"--
後標
--
後標
--
--
--","在校學業
學測數B
學測英文
學測國文
學測社會
數學學業
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01509,企業管理學系,21,21,"後標
後標
--
後標
--
--
--","在校學業
學測國英數B
學測英文
學測數B
學測國文
英語文學業
數學學業",8,"37%
--
--
--
--
--
--",13,"23%
--
--
--
--
--
--"
01509,企業管理學系【外加】,0,1,"後標
後標
--
後標
--
--
--","在校學業
學測國英數B
學測英文
學測數B
學測國文
英語文學業
數學學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01510,行銷學系,16,16,"後標
後標
--
--
--
--
--","在校學業
學測國英
學測國文
學測英文
學測數B
國語文學業
英語文學業",14,"44%
--
--
--
--
--
--",2,"13%
19
--
--
--
--
--"
01510,行銷學系【外加】,0,1,"後標
後標
--
--
--
--
--","在校學業
學測國英
學測國文
學測英文
學測數B
國語文學業
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01511,中國文學系,5,7,"均標
後標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
歷史學業",0,"--
--
--
--
--
--
--",5,"47%
--
--
--
--
--
--"
01511,中國文學系【外加】,0,1,"均標
後標
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
歷史學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01512,外國語文學系,12,12,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英語文學業
國語文學業
歷史學業
地理學業",4,"40%
--
--
--
--
--
--",8,"32%
12
--
--
--
--
--"
01512,外國語文學系【外加】,0,1,"--
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英語文學業
國語文學業
歷史學業
地理學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01513,都市計畫與空間資訊學系,15,15,"後標
後標
--
--
後標
--
--","在校學業
學測國英社
學測社會
國語文學業
地理學業
學測英文
學測數B",4,"21%
--
--
--
--
--
--",11,"41%
29
--
--
--
--
--"
01513,都市計畫與空間資訊學系【外加】,0,1,"後標
後標
--
--
後標
--
--","在校學業
學測國英社
學測社會
國語文學業
地理學業
學測英文
學測數B",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01514,運輸與物流學系,17,17,"後標
後標
--
後標
--
--
--","在校學業
學測英文
學測國文
學測數B
學測國英數B
英語文學業
國語文學業",4,"20%
--
--
--
--
--
--",13,"41%
--
--
--
--
--
--"
01514,運輸與物流學系【外加】,0,1,"後標
後標
--
後標
--
--
--","在校學業
學測英文
學測國文
學測數B
學測國英數B
英語文學業
國語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
01515,土地管理學系,17,17,"後標
後標
--
--
後標
--
--","在校學業
學測國英數B社
學測國文
學測社會
國語文學業
地理學業
公社學業",8,"44%
--
--
--
--
--
--",9,"32%
40
--
--
--
--
--"
