校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03401,企業管理學系,9,9,"--
均標
--
均標
--
--
--","在校學業
學測英文
學測數B
英語文學業
數學學業
學測國文
國語文學業",4,"26%
--
--
--
--
--
--",5,"11%
--
--
--
--
--
--"
03402,會計學系,10,10,"--
均標
--
均標
--
--
--","在校學業
學測國英數B
英語文學業
數學學業
學測英文
學測數B
國語文學業",10,"22%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03402,會計學系【外加】,0,2,"--
均標
--
均標
--
--
--","在校學業
學測國英數B
英語文學業
數學學業
學測英文
學測數B
國語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03403,資訊管理學系人工智慧與大數據組,6,6,"--
--
均標
--
--
--
--","在校學業
學測國英數A
學測數A
學測英文
數學學業
英語文學業
資訊科技學業",6,"15%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03403,資訊管理學系人工智慧與大數據組【外加】,0,1,"--
--
均標
--
--
--
--","在校學業
學測國英數A
學測數A
學測英文
數學學業
英語文學業
資訊科技學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03404,資訊管理學系智慧商務與知識管理組,5,5,"--
--
--
均標
--
--
--","在校學業
學測國英數B
學測數B
學測英文
數學學業
英語文學業
資訊科技學業",5,"13%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03404,資訊管理學系智慧商務與知識管理組【外加】,0,1,"--
--
--
均標
--
--
--","在校學業
學測國英數B
學測數B
學測英文
數學學業
英語文學業
資訊科技學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03405,國際企業學系,8,8,"--
均標
--
均標
--
--
--","在校學業
學測英文
學測數B
學測國英數B
英語文學業
數學學業
國語文學業",8,"24%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03406,財務金融學系,13,13,"--
均標
--
--
--
--
--","在校學業
學測數B
學測英文
學測國英數B
數學學業
英語文學業
國語文學業",13,"10%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03406,財務金融學系【外加】,0,5,"--
均標
--
--
--
--
--","在校學業
學測數B
學測英文
學測國英數B
數學學業
英語文學業
國語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03407,觀光暨休閒遊憩學系,8,8,"均標
--
--
--
均標
--
--","在校學業
英語文學業
學測英文
學測國英社
學測數B
學測國文
地理學業",1,"25%
--
--
--
--
--
--",7,"30%
--
--
--
--
--
--"
03407,觀光暨休閒遊憩學系【外加】,0,1,"均標
--
--
--
均標
--
--","在校學業
英語文學業
學測英文
學測國英社
學測數B
學測國文
地理學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03408,管理學院管理科學與財金國際學士學位學程,4,4,"--
均標
--
--
--
--
--","在校學業
學測英文
學測數B
學測國英數B
英語文學業
數學學業
國語文學業",4,"15%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03408,管理學院管理科學與財金國際學士學位學程【外加】,0,2,"--
均標
--
--
--
--
--","在校學業
學測英文
學測數B
學測國英數B
英語文學業
數學學業
國語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03409,管理學院會計與資訊管理國際學士班智慧會計與風險管理組,3,3,"--
均標
均標
--
--
--
--","在校學業
學測國英數A
學測英文
學測數A
英語文學業
數學學業
國語文學業",1,"30%
--
--
--
--
--
--",2,"28%
--
--
--
--
--
--"
03410,管理學院會計與資訊管理國際學士班會計資訊與電腦稽核組,2,2,"--
均標
--
均標
--
--
--","在校學業
學測國英數B
學測英文
學測數B
英語文學業
數學學業
國語文學業",2,"11%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03411,華文文學系,7,7,"均標
--
--
--
--
--
--","在校學業
學測國英社
學測國文
學測社會
國語文學業
歷史學業
英語文學業",6,"30%
--
--
--
--
--
--",1,"9%
--
--
--
--
--
--"
03411,華文文學系【外加】,0,2,"均標
--
--
--
--
--
--","在校學業
學測國英社
學測國文
學測社會
國語文學業
歷史學業
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03412,中國語文學系,10,10,"均標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測英文
英語文學業",4,"30%
--
--
--
--
--
--",6,"15%
--
--
--
--
--
--"
03412,中國語文學系【外加】,0,2,"均標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
學測社會
歷史學業
學測英文
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03413,英美語文學系,6,6,"--
均標
--
--
--
--
--","在校學業
學測英文
英語文學業
學測國文
國語文學業
學測社會
公社學業",6,"25%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
03413,英美語文學系【外加】,0,1,"--
均標
--
--
--
--
--","在校學業
學測英文
英語文學業
學測國文
國語文學業
學測社會
公社學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
