校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03801,全校不分系學士學位學程,--,2,"底標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測國英
國語文學業
英語文學業
公民與社會學業",--,"--
--
--
--
--
--
--",--,尚無資料
03802,教育學系,--,8,"後標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
數學學業
公民與社會學業
歷史學業
學測數學B",--,"--
--
--
--
--
--
--",--,尚無資料
03803,文化資源與休閒產業學系,--,8,"後標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
公民與社會學業
歷史學業
地理學業
英語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03804,幼兒教育學系,--,6,"均標
--
--
--
--
--
--","在校學業
學測國英數B
學測國文
學測英文
學測數學B
英語文學業
國語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03805,特殊教育學系,--,8,"後標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
英語文學業
數學學業
公民與社會學業
學測英文",--,"--
--
--
--
--
--
--",--,尚無資料
03806,數位媒體與文教產業學系,--,5,"後標
後標
--
--
--
--
--","在校學業
學測國文
學測社會
公民與社會學業
數學學業
歷史學業
國語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03807,英美語文學系,--,9,"--
後標
--
--
--
--
--","在校學業
學測英文
英語文學業
學測國英
學測國文
國語文學業
學測數學B",--,"--
--
--
--
--
--
--",--,尚無資料
03808,華語文學系,--,9,"後標
--
--
--
--
--
--","在校學業
學測國文
學測英文
國語文學業
學測社會
公民與社會學業
歷史學業",--,"--
--
--
--
--
--
--",--,尚無資料
03809,公共與文化事務學系,--,12,"--
--
--
--
均標
--
--","在校學業
學測社會
學測國文
學測英文
公民與社會學業
國語文學業
英語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03810,應用數學系,--,13,"--
--
底標
--
--
--
--","在校學業
學測數學A
學測自然
學測英文
數學學業
物理學業
英語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03811,資訊管理學系,--,12,"--
後標
--
--
--
--
--","在校學業
學測英文
學測數學B
學測國文
英語文學業
數學學業
國語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03812,應用科學系化學及奈米科學組,--,14,"--
--
--
--
--
後標
--","在校學業
學測自然
學測數學A
學測國文
化學學業
數學學業
國語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03813,應用科學系應用物理組,--,14,"--
--
--
--
--
後標
--","在校學業
學測自然
學測數學A
學測英文
物理學業
數學學業
英語文學業",--,"--
--
--
--
--
--
--",--,尚無資料
03814,資訊工程學系,--,30,"--
--
底標
--
--
--
--","在校學業
學測數學A
數學學業
英語文學業
國語文學業
物理學業
化學學業",--,"--
--
--
--
--
--
--",--,尚無資料
03815,綠色與資訊科技學士學位學程,--,10,"--
--
--
--
--
底標
--","在校學業
學測自然
物理學業
數學學業
學測英文
英語文學業
學測數學B",--,"--
--
--
--
--
--
--",--,尚無資料
03816,身心整合與運動休閒產業學系,--,2,"底標
--
--
--
--
--
--","在校學業
學測國文
國語文學業
學測數學B
數學學業
英語文學業
公民與社會學業",--,"--
--
--
--
--
--
--",--,尚無資料
03817,生命科學系,--,14,"--
--
--
--
--
後標
--","在校學業
學測自然
生物學業
化學學業
學測英文
數學學業
學測國文",--,"--
--
--
--
--
--
--",--,尚無資料
