校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
00801,工業與系統工程學系管理組,8,8,"--
後標
--
--
--
--
--","在校學業
學測國英數A
學測數A
學測國文
學測英文
數學學業
英語文學業",0,"--
--
--
--
--
--
--",8,"36%
--
--
--
--
--
--"
00802,企業管理學系服務業管理組,11,11,"後標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數B
國語文學業
英語文學業",1,"32%
--
--
--
--
--
--",10,"24%
--
--
--
--
--
--"
00802,企業管理學系服務業管理組【外加】,0,1,"後標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數B
國語文學業
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
00803,企業管理學系高科技業管理組,10,10,"後標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數B
國語文學業
英語文學業",3,"39%
--
--
--
--
--
--",7,"21%
--
--
--
--
--
--"
00803,企業管理學系高科技業管理組【外加】,0,1,"後標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會
學測數B
國語文學業
英語文學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
00804,企業管理學系工商管理組,16,16,"--
--
--
--
後標
--
--","在校學業
學測社會
學測英文
學測國文
學測數B
國語文學業
英語文學業",2,"19%
--
--
--
--
--
--",14,"22%
11
--
--
--
--
--"
00804,企業管理學系工商管理組【外加】,2,2,"--
--
--
--
後標
--
--","在校學業
學測社會
學測英文
學測國文
學測數B
國語文學業
英語文學業",2,"29%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
00805,國際經營與貿易學系,16,16,"--
後標
--
--
--
--
--","在校學業
學測英文
英語文學業
學測國文
國語文學業
學測社會
公社學業",7,"41%
--
--
--
--
--
--",9,"14%
--
--
--
--
--
--"
00806,會計學系,25,25,"後標
--
--
--
--
--
--","在校學業
學測國英數B社
學測英文
學測數B
學測國文
學測社會
英語文學業",12,"44%
--
--
--
--
--
--",13,"16%
39
--
--
--
--
--"
00807,資訊管理學系,16,16,"--
--
底標
底標
--
--
--","在校學業
學測國文
學測英文
國語文學業
英語文學業
數學學業
資訊科技學業",10,"47%
--
--
--
--
--
--",6,"12%
--
--
--
--
--
--"
