校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03901,休閒產業經營學系,8,8,"--
均標
--
--
--
--
--","在校學業
學測英文
學測數B
學測國文
英語文學業
數學學業
國語文學業",8,"16%
--
--
--
--
--
--",--,
03901,休閒產業經營學系【外加】,0,2,"--
均標
--
--
--
--
--","在校學業
學測英文
學測數B
學測國文
英語文學業
數學學業
國語文學業",0,"--
--
--
--
--
--
--",--,
03902,體育推廣學系(一般組),12,12,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測數B
學測社會
國語文學業
英語文學業",12,"18%
--
--
--
--
--
--",--,
03902,體育推廣學系(一般組)【外加】,0,3,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測數B
學測社會
國語文學業
英語文學業",0,"--
--
--
--
--
--
--",--,
03903,適應體育學系(一般組),6,6,"--
底標
--
--
--
--
--","在校學業
學測英文
學測國文
學測國英數B自
英語文學業
學測數B
學測自然",6,"17%
--
--
--
--
--
--",--,
03903,適應體育學系(一般組)【外加】,2,2,"--
底標
--
--
--
--
--","在校學業
學測英文
學測國文
學測國英數B自
英語文學業
學測數B
學測自然",2,"24%
--
--
--
--
--
--",--,
03904,運動保健學系,10,10,"--
均標
--
--
--
--
--","在校學業
學測國英數A自
學測英文
學測自然
學測國文
學測數A
英語文學業",10,"10%
48
--
--
--
--
--",--,
03904,運動保健學系【外加】,0,3,"--
均標
--
--
--
--
--","在校學業
學測國英數A自
學測英文
學測自然
學測國文
學測數A
英語文學業",0,"--
--
--
--
--
--
--",--,
